x,y,live_count,dead_count,pipo_count,non_pipo_count,pipo_ba,total_ba,site,forest,elev,rep,crs
-66268.79335750431,98168.4138665805,14,1,8,6,0.3570713580007594,0.6260883012270064,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98168.4138665805,9,11,8,1,0.9385364998619696,0.9460778298287806,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98168.4138665805,8,8,5,3,1.6193445463391125,1.6962252191664253,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98168.4138665805,6,9,3,3,0.7105999918341626,0.9613867003536922,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98168.4138665805,11,6,9,2,1.0461914018872123,1.3254010163850787,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98168.4138665805,25,0,12,13,1.6752787516635388,3.7509097693420514,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98168.4138665805,23,2,16,7,2.580233530884944,3.1258751058940955,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98168.4138665805,18,0,12,6,1.2031227609955095,1.344763091135418,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98168.4138665805,16,0,14,2,0.931745833044881,0.9532635484299111,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98168.4138665805,21,1,17,4,1.788616811283079,1.8945598898050797,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98168.4138665805,26,1,23,3,2.794858441674077,3.3602190677581385,eldo_3k_1,eldo,3k,1,3310
-66048.79335750431,98168.4138665805,21,1,17,4,2.2069766031764764,2.551234990060101,eldo_3k_1,eldo,3k,1,3310
-66028.79335750431,98168.4138665805,31,1,11,20,1.861157794007343,4.220512227067535,eldo_3k_1,eldo,3k,1,3310
-66008.79335750431,98168.4138665805,17,7,10,7,2.3372911782850285,3.1264875251248805,eldo_3k_1,eldo,3k,1,3310
-65988.79335750431,98168.4138665805,25,1,7,18,0.7724162944808608,2.2442194708457075,eldo_3k_1,eldo,3k,1,3310
-65968.79335750431,98168.4138665805,27,0,5,22,1.1230058874290967,5.946524095747929,eldo_3k_1,eldo,3k,1,3310
-65948.79335750431,98168.4138665805,29,1,9,20,1.4806596604504791,5.223462533884139,eldo_3k_1,eldo,3k,1,3310
-65928.79335750431,98168.4138665805,17,5,7,10,1.329977826455013,3.2949787762544185,eldo_3k_1,eldo,3k,1,3310
-65908.79335750431,98168.4138665805,16,1,7,9,0.5404691798901912,1.337085102132078,eldo_3k_1,eldo,3k,1,3310
-65888.79335750431,98168.4138665805,23,0,7,16,0.5337395514277344,2.0805408356973905,eldo_3k_1,eldo,3k,1,3310
-65868.79335750431,98168.4138665805,25,4,13,12,2.703431603539112,3.7250985144798254,eldo_3k_1,eldo,3k,1,3310
-65848.79335750431,98168.4138665805,33,0,15,18,3.7481366300513863,5.56438478701024,eldo_3k_1,eldo,3k,1,3310
-65828.79335750431,98168.4138665805,25,3,13,12,1.699967417239991,2.9193121185852173,eldo_3k_1,eldo,3k,1,3310
-65808.79335750431,98168.4138665805,27,0,11,16,2.2359773951783803,4.85973486747888,eldo_3k_1,eldo,3k,1,3310
-65788.79335750431,98168.4138665805,29,1,16,13,4.770969815599695,6.486281198586535,eldo_3k_1,eldo,3k,1,3310
-65768.79335750431,98168.4138665805,16,3,11,5,3.2326613355759783,4.051188438923234,eldo_3k_1,eldo,3k,1,3310
-65748.79335750431,98168.4138665805,25,0,12,13,2.5602955254023376,4.862957552792596,eldo_3k_1,eldo,3k,1,3310
-66268.79335750431,98148.4138665805,15,4,7,8,0.5682426237423157,0.855046094814652,eldo_3k_1,eldo,3k,1,3310
-66248.79335750431,98148.4138665805,6,9,4,2,0.31511497173682423,0.3293481991648764,eldo_3k_1,eldo,3k,1,3310
-66228.79335750431,98148.4138665805,5,9,4,1,0.27596547940046323,0.2799415165964387,eldo_3k_1,eldo,3k,1,3310
-66208.79335750431,98148.4138665805,3,13,1,2,0.25880482730444027,0.2758152118599938,eldo_3k_1,eldo,3k,1,3310
-66188.79335750431,98148.4138665805,10,14,2,8,1.0134860498710467,1.822769912675048,eldo_3k_1,eldo,3k,1,3310
-66168.79335750431,98148.4138665805,23,0,9,14,1.4755238093791074,3.5568539846681313,eldo_3k_1,eldo,3k,1,3310
-66148.79335750431,98148.4138665805,14,1,13,1,1.3100269147448744,1.406472355553984,eldo_3k_1,eldo,3k,1,3310
-66128.79335750431,98148.4138665805,13,2,10,3,1.0936354178276644,1.26494372888978,eldo_3k_1,eldo,3k,1,3310
-66108.79335750431,98148.4138665805,18,0,13,5,1.2911423506794744,1.5248130005511278,eldo_3k_1,eldo,3k,1,3310
-66088.79335750431,98148.4138665805,27,1,24,3,2.8173818464270095,3.0081201914371434,eldo_3k_1,eldo,3k,1,3310
-66068.79335750431,98148.4138665805,18,2,12,6,1.757303818561998,2.3441914860217454,eldo_3k_1,eldo,3k,1,3310
