plot,ttops_method,elapsed_time,total_tree_count,live_tree_count,dead_tree_count,total_density_tph,live_density_tph,dead_density_tph,live_proportion,height_lwr_25,height_mean,height_upr_25,nn_1_mean,nn_2_mean,nn_3_mean,tree_count_above_15m,tree_count_below_15m
eldo_3k_2_2,ground,NA,6,3,3,148.26322888029918,74.13161444014959,74.13161444014959,0.5,21.6408,23.5204,29.2608,5.172701909909999,7.821299983447984,8.492588204274716,5,1
eldo_3k_2_3,ground,NA,10,2,8,247.1053814671653,49.42107629343306,197.68430517373224,0.2,20.193,27.462480000000003,36.7284,3.9810494587131764,5.171795313957799,6.320565207358923,8,2
eldo_3k_2_4,ground,NA,42,34,8,1037.8426021620944,840.158296988362,197.68430517373224,0.8095238095238095,5.4864,11.197771428571428,11.811,1.2181474099621852,2.079275640277499,2.793673575112297,10,32
eldo_3k_2_5,ground,NA,59,43,16,1457.9217506562754,1062.553140308811,395.3686103474645,0.7288135593220338,7.62,11.949193220338984,12.8016,0.9341587588886625,1.7780218221214554,2.168524693253207,12,47
eldo_3k_3_1,ground,NA,9,4,5,222.39484332044879,98.84215258686612,123.55269073358265,0.4444444444444444,4.572,25.738666666666667,44.5008,4.157071884358452,5.841634340671855,7.514710334003657,5,4
eldo_3k_3_2,ground,NA,11,6,5,271.8159196138818,148.26322888029918,123.55269073358265,0.5454545454545454,15.3924,29.51018181818182,46.482,3.0134147621967644,5.222598691779854,6.4853917271794845,9,2
eldo_3k_3_3,ground,NA,18,14,4,444.78968664089757,345.94753405403145,98.84215258686612,0.7777777777777778,5.8674,14.715066666666667,15.24,2.360110652572832,3.888004144584385,4.88553099733518,5,13
eldo_3k_3_5,ground,NA,15,9,6,370.658072200748,222.39484332044879,148.26322888029918,0.6,10.363199999999999,22.677120000000002,42.214800000000004,3.1403983084733738,5.261549903988215,6.422173337816039,7,8
eldo_4k_1_1,ground,NA,22,14,8,543.6318392277636,345.94753405403145,197.68430517373224,0.6363636363636364,8.763,21.557672727272728,35.1282,1.7568131683596204,3.2574573512899967,4.33742292972782,9,13
eldo_4k_1_3,ground,NA,28,17,11,691.8950681080629,420.079148494181,271.8159196138818,0.6071428571428571,8.1534,21.51017142857143,32.766,1.9266712083993425,3.072124870987447,4.0339884198033245,17,11
eldo_4k_2_1,ground,NA,9,3,6,222.39484332044879,74.13161444014959,148.26322888029918,0.3333333333333333,16.4592,21.0312,24.9936,2.786229614515945,4.233768278041533,7.045818155758651,8,1
eldo_4k_2_2,ground,NA,12,0,12,296.52645776059836,0,296.52645776059836,0,22.098,23.368,24.6126,4.30123839668278,5.501549143196643,6.458749621550804,12,0
eldo_4k_2_3,ground,NA,8,3,5,197.68430517373224,74.13161444014959,123.55269073358265,0.375,31.623,38.6715,47.3964,4.049197724393878,5.399946194168709,6.707316476687921,7,1
eldo_4k_2_4,ground,NA,15,2,13,370.658072200748,49.42107629343306,321.2369959073149,0.13333333333333333,20.726399999999998,22.412959999999998,24.2316,3.3377357106502896,4.889562727175594,5.973581622396456,15,0
eldo_4k_2_5,ground,NA,11,4,7,271.8159196138818,98.84215258686612,172.97376702701573,0.36363636363636365,23.7744,25.2984,27.7368,4.317909979487687,5.328802084207098,6.286560938519312,11,0
eldo_5k_1_3,ground,NA,19,13,6,469.5002247876141,321.2369959073149,148.26322888029918,0.6842105263157895,6.2484,18.384252631578946,33.3756,2.0510112055618714,3.7785775096093444,5.019014534678086,6,13
eldo_5k_1_5,ground,NA,42,25,17,1037.8426021620944,617.7634536679133,420.079148494181,0.5952380952380952,4.6482,8.091714285714286,10.8966,1.421422413065424,2.2077520682718035,2.640747528640139,3,39
eldo_5k_2_4,ground,NA,27,14,13,667.1845299613464,345.94753405403145,321.2369959073149,0.5185185185185185,12.0396,21.110222222222223,29.1084,2.3892665059897364,3.3648524353311644,4.686263880467353,18,9
eldo_5k_3_1,ground,NA,5,4,1,123.55269073358265,98.84215258686612,24.71053814671653,0.8,11.8872,13.4112,16.4592,5.394778405340771,9.187256356723292,13.662236834916952,2,3
eldo_5k_3_2,ground,NA,24,11,13,593.0529155211967,271.8159196138818,321.2369959073149,0.4583333333333333,14.6304,20.7137,25.9842,2.0743939669760656,3.351747217493911,4.280585613378551,17,7
eldo_5k_3_4,ground,NA,34,29,5,840.158296988362,716.6056062547794,123.55269073358265,0.8529411764705882,5.8674,10.57835294117647,14.859,1.6559914360239454,2.8575357298607034,3.5157757135293344,8,26
sequ_4k_1_1,ground,NA,19,8,11,469.5002247876141,197.68430517373224,271.8159196138818,0.42105263157894735,6.8580000000000005,12.240126315789475,16.1544,2.340514094857024,3.616154237910559,4.750652059910258,6,13
sequ_4k_1_3,ground,NA,10,5,5,247.1053814671653,123.55269073358265,123.55269073358265,0.5,5.1054,14.08176,21.4122,2.038873921278663,4.184769188828946,5.8112655035232494,3,7
sequ_4k_1_4,ground,NA,24,7,17,593.0529155211967,172.97376702701573,420.079148494181,0.2916666666666667,3.9624,12.661900000000001,22.7838,2.531716736518082,3.2438754872937134,3.738338784669882,7,17
sequ_4k_1_5,ground,NA,29,15,14,716.6056062547794,370.658072200748,345.94753405403145,0.5172413793103449,3.9624,12.234041379310344,13.411200000000001,1.4565883661837846,2.594109232471436,3.206057001014982,6,23
sequ_4k_3_1,ground,NA,16,0,16,395.3686103474645,0,395.3686103474645,0,10.134599999999999,13.6398,18.288,2.1772385366678253,3.108320221067993,4.140432725641494,6,10
sequ_4k_3_3,ground,NA,12,3,9,296.52645776059836,74.13161444014959,222.39484332044879,0.25,5.6388,11.9888,17.145,2.053949361993558,4.086610687836723,5.624636672925373,6,6
sequ_4k_3_4,ground,NA,9,7,2,222.39484332044879,172.97376702701573,49.42107629343306,0.7777777777777778,5.1815999999999995,8.873066666666666,10.9728,3.516526466430196,5.611513416529616,7.456126164217739,1,8
sequ_5k_1_1,ground,NA,27,16,11,667.1845299613464,395.3686103474645,271.8159196138818,0.5925925925925926,8.8392,18.965333333333334,29.108400000000003,1.1841832733752629,1.7423248517686325,2.3547086458584516,10,17
sequ_5k_1_2,ground,NA,10,2,8,247.1053814671653,49.42107629343306,197.68430517373224,0.2,16.383,18.16608,22.0218,1.9432644302322197,4.178561550798547,5.15688867285614,8,2
sequ_5k_2_1,ground,NA,37,19,18,914.2899114285117,469.5002247876141,444.78968664089757,0.5135135135135135,6.4008,14.070227027027027,17.6784,1.1840235054318382,2.189213776039572,2.769158896483865,11,26
sequ_5k_2_3,ground,NA,15,13,2,370.658072200748,321.2369959073149,49.42107629343306,0.8666666666666667,6.4008,13.98016,20.4216,2.078907225466574,2.9244322477982823,4.232111266065437,5,10
sequ_5k_2_4,ground,NA,12,6,6,296.52645776059836,148.26322888029918,148.26322888029918,0.5,8.991600000000002,24.892,39.7002,3.4066317879347636,5.5722853398633285,7.435538943632043,7,5
sequ_5k_3_1,ground,NA,16,8,8,395.3686103474645,197.68430517373224,197.68430517373224,0.5,13.6398,15.37335,19.5834,3.27751304134069,4.260231799139307,5.218233751865805,11,5
sequ_5k_3_2,ground,NA,12,6,6,296.52645776059836,148.26322888029918,148.26322888029918,0.5,4.191,17.3736,27.660600000000002,3.2811343311440773,4.622935771608492,5.852946449621161,6,6
sequ_5k_3_3,ground,NA,14,11,3,345.94753405403145,271.8159196138818,74.13161444014959,0.7857142857142857,4.7244,12.3444,18.0594,2.8383270017832216,4.046288178598437,5.190144371498183,6,8
sequ_5k_3_5,ground,NA,20,6,14,494.2107629343306,148.26322888029918,345.94753405403145,0.3,8.5344,12.13104,16.6116,2.279256237114845,3.6671732586949464,4.267234427467222,6,14
sequ_6k_1_1,ground,NA,17,10,7,420.079148494181,247.1053814671653,172.97376702701573,0.5882352941176471,14.3256,19.25618823529412,26.2128,2.233703687681996,3.305314715068451,4.50353740455962,12,5
sequ_6k_1_2,ground,NA,11,4,7,271.8159196138818,98.84215258686612,172.97376702701573,0.36363636363636365,18.1356,18.842181818181817,21.7932,4.076296514979125,5.674806427494529,7.175527009420259,9,2
sequ_6k_1_3,ground,NA,11,0,11,271.8159196138818,0,271.8159196138818,0,18.5928,19.86741818181818,21.0312,3.994255567573368,5.6364655086710655,7.23364026239686,11,0
sequ_6k_1_4,ground,NA,14,3,11,345.94753405403145,74.13161444014959,271.8159196138818,0.21428571428571427,15.697199999999999,17.65662857142857,21.5646,3.9828403169743347,5.506482813718521,6.846924322344092,11,3
sequ_6k_2_2,ground,NA,57,36,21,1408.5006743628423,889.5793732817951,518.9213010810472,0.631578947368421,8.2296,12.566315789473684,15.8496,1.552711925355641,2.101404013564588,2.513557678656572,18,39
sequ_6k_2_3,ground,NA,39,28,11,963.7109877219447,691.8950681080629,271.8159196138818,0.717948717948718,4.4196,10.128738461538461,11.8872,1.1635450129164766,1.951637241125832,2.5924121029840275,8,31
sequ_6k_2_5,ground,NA,25,9,16,617.7634536679133,222.39484332044879,395.3686103474645,0.36,13.411200000000001,14.764512,17.9832,2.17214327436481,3.383577231851447,4.893831703964135,16,9
sequ_6k_3_2,ground,NA,23,17,6,568.3423773744802,420.079148494181,148.26322888029918,0.7391304347826086,5.334,12.032973913043477,16.764,1.8418703692556058,2.679729858096191,3.9724896267222958,7,16
sequ_6k_3_3,ground,NA,23,21,2,568.3423773744802,518.9213010810472,49.42107629343306,0.9130434782608695,6.5532,13.503965217391304,21.1836,1.8845834500473408,2.969437482991186,3.917976474759715,7,16
sequ_6k_3_4,ground,NA,29,17,12,716.6056062547794,420.079148494181,296.52645776059836,0.5862068965517241,7.0104,14.451724137931034,21.9456,1.5653253344967297,2.3261660325663867,2.9089848515299668,11,18
sier_3k_1_1,ground,NA,18,6,12,444.78968664089757,148.26322888029918,296.52645776059836,0.3333333333333333,12.0396,19.219333333333335,24.9174,2.1853352686607956,3.332601533242671,4.027730246058099,11,7
sier_3k_1_2,ground,NA,46,27,19,1136.6847547489604,667.1845299613464,469.5002247876141,0.5869565217391305,6.1722,10.495721739130435,11.5824,1.45074061368523,2.257237694166744,2.7489101943229732,7,39
