site,air_n_total,air_n_live,air_n_dead,air_prop_mortality,air_n_pipo_live,air_n_pipo_and_dead,air_n_abco,air_n_cade,air_prop_pipo_live,air_prop_pipo_and_dead,air_prop_abco,air_prop_cade,air_prop_nonhost_live,air_prop_nonhost_all,air_qmd_pipo,air_qmd_pipo_and_dead,air_qmd_overall,air_qmd_live,air_qmd_dead,forest,elev,rep,live_count,dead_count,pipo_count,abco_count,cade_count,pipo_count_dead,abco_count_dead,cade_count_dead,nonhost_count_live,nonhost_count_dead,pipo_and_dead_count,total_count,n_fallen,pct_fallen,qmd_fallen,n_fallen_pipo,pct_fallen_pipo,qmd_fallen_pipo,live_tpha,dead_tpha,pipo_tpha,abco_tpha,cade_tpha,pipo_dead_tpha,abco_dead_tpha,cade_dead_tpha,nonhost_live_tpha,nonhost_dead_tpha,pipo_and_dead_tpha,overall_tpha,live_ba,dead_ba,pipo_ba,pipo_and_dead_ba,total_ba,live_bapha,dead_bapha,pipo_bapha,pipo_and_dead_bapha,overall_bapha,ground_qmd_live,ground_qmd_dead,ground_qmd_pipo,ground_qmd_pipo_live_and_dead,ground_qmd_dead_pipo,ground_qmd_pipo_and_dead,ground_qmd_overall,live_sdi_ac,pipo_and_dead_sdi_ac,overall_sdi_ac,site_cwd,site_cwd_zscore,pipo_and_dead_tpha_s,overall_tpha_s,pipo_and_dead_bapha_s,overall_bapha_s,pipo_and_dead_qmd_s,overall_qmd_s,live_sdi_ac_s,pipo_and_dead_sdi_ac_s,overall_sdi_ac_s,x_3310,y_3310,ground_n_total,ground_tpha_total,ground_tpha_abco,ground_tpha_cade,ground_tpha_pipo_live,ground_tpha_pipo_and_dead,ground_prop_mortality,ground_prop_mortality_pipo,ground_prop_mortality_nonhost,ground_prop_mortality_abco,ground_prop_pipo_live,ground_prop_pipo_and_dead,ground_prop_abco,ground_prop_cade,ground_prop_nonhost_live,ground_prop_nonhost_all,survey_area,buffered_survey_area,air_tpha_total,air_tpha_abco,air_tpha_cade,air_tpha_pipo_live,air_tpha_pipo_and_dead
eldo_3k_1,19544,17410,2134,0.10918952108063851,9018,11152,275,2615,0.4614203847728203,0.5706099058534588,0.014070814572247237,0.1338006549324601,0.5385796152271797,0.42939009414654117,44.340216002381126,42.597435975577156,44.85175994480622,45.98178818839474,34.26757823119784,eldorado,3000,1,32,51,15,0,4,51,0,0,17,0,66,83,3,0.058823529411764705,45.21057301118844,3,0.058823529411764705,45.21057301118844,158.14730432977666,252.04726627558156,74.13154890458281,0,19.768413041222082,1260.2363313779078,0,0,420.0787771259693,0,326.1788151801644,410.19457060535825,8222.038238827638,55308.89481966872,3897.695270713772,59206.590090382495,63530.933058496354,40634.16198646673,273342.26941217994,19262.812505071943,292605.08191725187,313976.4313986466,18.087136506368275,37.159294633335804,18.189190474931348,33.796219039915385,37.159294633335804,33.796219039915385,31.218255449355347,35.088828628365405,218.83400992251595,239.14190511261737,678.4522985936404,0.3185111692299235,0.0012434339090427915,-0.6055248025601201,-1.1664427706003984,-1.3600973591504693,-1.0857771566425005,-0.9990795541618556,-1.0518931311833044,-1.1314235118649405,-1.3376912563253947,-66236.08655535772,97888.20658568843,83,410.19457060535825,0,19.768413041222082,74.13154890458281,326.1788151801644,0.6144578313253012,0.6144578313253012,0,0,0.18072289156626506,0.7951807228915663,0,0.04819277108433735,0.8192771084337349,0.20481927710843373,39.29317776268352,31.02189765795666,630.0065913275055,8.864705925862873,84.29529453138696,290.6978837797505,359.48800176444644
eldo_3k_2,13597,12031,1566,0.11517246451423113,5847,7413,470,1980,0.4300213282341693,0.5451937927484004,0.03456644848128264,0.14562035743178642,0.5699786717658307,0.4548062072515996,46.0634053536965,44.78237645569059,42.87559530844802,43.27954069546874,39.635160963251145,eldorado,3000,2,84,47,39,0,42,46,0,1,45,1,86,131,8,0.1702127659574468,84.38650681240455,8,0.17391304347826086,84.38650681240455,415.13667386566374,232.27885323435947,192.74202715191532,0,207.56833693283187,1136.6837498702698,0,24.710516301527605,1111.9732335687422,24.710516301527605,425.0208803862748,647.4155271000233,25987.810504960824,73688.39118448479,17332.740054496466,91021.13123898125,99676.20168944562,128434.44302476896,364175.6383195109,85660.19113335508,449835.82945286593,492610.08134427987,19.847246425302092,44.679228751034124,23.787914436342863,36.916618791700905,45.150086210134845,36.70937141929837,31.125415066363935,108.56330772054682,330.086654912726,375.45633043233465,706.4828373106516,0.5005431479070778,0.8965158484197044,0.5305738498002359,-0.06525201043648907,-0.40988525957325267,-0.7530300009563712,-1.013424593637707,-0.18800558201349968,0.06940430019202609,-0.30369283515241347,-45695.64725328241,58153.01709512295,131,647.4155271000233,0,207.56833693283187,192.74202715191532,425.0208803862748,0.35877862595419846,0.3511450381679389,0.007633587786259542,0,0.29770992366412213,0.6564885496183206,0,0.32061068702290074,0.7022900763358779,0.3435114503816794,38.810502890470076,30.605672020606203,444.2640563763934,15.356630616820247,64.69389068362572,191.04301960967655,242.21000587763507
eldo_3k_3,15249,11911,3338,0.21889959997376873,5986,9324,1327,1896,0.392550331169257,0.6114499311430258,0.08702209980982359,0.12433602203423175,0.6074496688307429,0.3885500688569742,59.85474375952267,58.64239912074979,53.71442976947985,52.93645525711327,56.403086257756364,eldorado,3000,3,53,30,4,13,41,25,0,5,49,5,34,83,0,0,0,0,0,0,261.9314727961926,148.26309780916563,19.768413041222082,64.24734238397177,202.62623367252635,617.7629075381901,0,123.55258150763802,1210.8152987748526,123.55258150763802,168.03151085038772,410.19457060535825,28624.716226184202,114352.42644327764,11626.859144623275,125979.28558790091,142977.14266946184,141466.3033867453,565141.4995491697,57461.13848575575,622602.6380349254,706607.802935915,26.2233227087414,69.66539824618819,60.83538617449552,74.09147256438234,75.99817525493623,68.68551697410452,46.83271331693805,112.15727534075899,395.55291344207427,490.25801890863204,654.5148715411977,0.16306010013749192,-1.431192429308016,-0.6055248025601201,1.1447480452490424,0.7284401589591194,2.8993609822509643,1.413556060721522,-0.14574895198927793,0.7760275359835963,0.5671230330439937,-46265.82817919752,60096.10563316941,83,410.19457060535825,64.24734238397177,202.62623367252635,19.768413041222082,168.03151085038772,0.3614457831325301,0.30120481927710846,0.060240963855421686,0,0.04819277108433735,0.40963855421686746,0.1566265060240964,0.4939759036144578,0.9518072289156626,0.5903614457831325,39.21764535131687,30.95455453375897,492.625406169857,42.86929726456818,61.25108335615771,193.3802663343671,301.21577068186417
eldo_4k_1,17743,16199,1544,0.0870202333314547,3657,5201,6620,3927,0.2061094516147213,0.293129684946176,0.3731048864340867,0.2213267203967762,0.7938905483852787,0.706870315053824,44.05276409740118,43.33413999726881,43.87778905027327,44.090322148395956,41.58254883832164,eldorado,4000,1,72,47,3,22,50,32,4,11,69,15,50,119,1,0.02127659574468085,52.07,1,0.03125,52.07,355.8314347419975,232.27885323435947,14.826309780916564,108.72627172672146,247.10516301527605,790.7365216488834,98.84206520611042,271.81567931680365,1705.0256248054047,370.6577445229141,247.10516301527605,588.110287976357,78111.89680625804,146250.5236551796,22906.725007560577,169157.24866274017,224362.42046143764,386037.05987485626,722785.1897776528,113207.40034278714,835992.5901204399,1108822.249652509,37.1661352592802,62.94407348033548,98.59977707885551,74.75650102184139,72.11816636950776,65.6319584160034,48.99554996805597,282.4669998122794,536.708551452353,761.3748483308817,570.4251245518055,-0.38302369744756215,-0.7149744976994867,0.2465491867101467,2.6392588024097066,2.86795325747769,2.550576300708013,1.7477422859439555,1.856693968210245,2.299619320846816,2.6236506009703024,-31090.262522947633,56786.95642620725,119,588.110287976357,108.72627172672146,247.10516301527605,14.826309780916564,247.10516301527605,0.3949579831932773,0.2689075630252101,0.12605042016806722,0.03361344537815126,0.025210084033613446,0.42016806722689076,0.18487394957983194,0.42016806722689076,0.9747899159663865,0.5798319327731092,35.88694933041877,28.038068952327542,632.8181883769528,236.1075583078074,140.05957424090028,130.42980977819514,185.49779618714598
eldo_4k_2,9608,8151,1457,0.15164446294754375,3109,4566,1198,870,0.3235845129059117,0.47522897585345547,0.12468776019983348,0.09054954204829309,0.6764154870940883,0.5247710241465445,54.52703080727683,51.30405398622522,46.205082550523905,46.649074676807174,43.637978804129624,eldorado,4000,2,12,43,10,0,0,43,0,0,2,0,53,55,0,0,0,0,0,0,59.305239123666254,212.5104401931374,49.42103260305521,0,0,1062.552200965687,0,0,49.42103260305521,0,261.9314727961926,271.81567931680365,20470.171423572352,75752.56544208428,17771.24470690744,93523.81014899172,96222.73686565663,101165.70093144983,374377.00064783206,87827.32640569449,462204.32705352653,475542.7015792818,46.60421274234051,47.36085174045538,47.56790043716455,47.399986755829694,47.36085174045538,47.399986755829694,47.19680144786393,70.26970413429197,319.7993942766135,329.3534755829972,642.2041866728804,0.08311378344074097,-0.5806836355228874,-1.2682490164369944,0.02137274641567738,-0.5006723580046865,0.46807737088620655,1.4698123841288044,-0.6382485474587629,-0.04163331768042772,-0.653401085133839,-29696.468851230846,51789.92751363227,55,271.81567931680365,0,0,49.42103260305521,261.9314727961926,0.7818181818181819,0.7818181818181819,0,0,0.18181818181818182,0.9636363636363636,0,0,0.8181818181818181,0.036363636363636376,36.354377716910925,28.409085834298,338.20166041387927,42.16960753287129,30.6240054704491,109.43681954899569,160.72322871042596
eldo_5k_1,18820,16680,2140,0.11370882040382568,3953,6093,8169,2929,0.21004250797024443,0.3237513283740701,0.4340595111583422,0.15563230605738576,0.7899574920297556,0.6762486716259299,51.873832183691455,49.30158199173383,48.18491435605382,48.677468213856955,44.15785287161184,eldorado,5000,1,62,48,17,3,35,46,0,1,45,2,65,110,2,0.041666666666666664,26.5815581183647,2,0.043478260869565216,26.5815581183647,306.4104021389423,237.22095649466502,84.01575542519386,14.826309780916564,172.97361411069323,1136.6837498702698,0,24.710516301527605,1111.9732335687422,49.42103260305521,321.23671191985886,543.6313586336073,35357.79453768385,114951.25334207506,6096.147010274084,121047.40035234914,150309.0478797589,174741.87166190008,568100.9639180751,30127.788014777307,598228.7519328523,742842.8355799752,26.946464912680526,55.21935075074076,21.367726411576875,49.361932189935686,56.2880724441534,48.69407433795995,41.7110649906538,137.67471624615567,411.35842493162886,529.3120312417587,663.0940514087661,0.21877380234232724,-0.043520186816490496,0.03353068939258006,0.9740416243639612,0.9211864106168581,0.6158911156151331,0.6221951781541554,0.15427630517779517,0.9466275049291729,0.8633630457807976,-30338.332117140777,58029.53101719208,110,543.6313586336073,14.826309780916564,172.97361411069323,84.01575542519386,321.23671191985886,0.43636363636363634,0.41818181818181815,0.01818181818181818,0,0.15454545454545454,0.5909090909090909,0.02727272727272727,0.3181818181818182,0.8454545454545455,0.40909090909090906,36.34358415444754,28.43764101358075,661.7989161271245,287.26011401926036,102.9972914631428,139.00590411533065,214.25827821267637
eldo_5k_2,17557,15370,2187,0.12456570029048242,5817,8004,3575,3900,0.33132084069032297,0.4558865409808054,0.2036224867574187,0.22213362191718403,0.668679159309677,0.5441134590191946,47.639826942317626,45.78228162348937,45.96009728576217,46.69399214310193,40.42827485769489,eldorado,5000,2,125,71,40,32,71,48,14,8,85,23,111,196,2,0.028169014084507043,25.487479357519838,2,0.041666666666666664,25.487479357519838,617.7629075381901,350.889331481692,197.68413041222084,158.14730432977666,350.889331481692,1186.104782473325,345.94722822138647,197.68413041222084,2100.3938856298464,568.3418749351349,548.5734618939128,968.6522390198821,123521.45028979058,56609.15688178081,49437.371234878556,106046.52811665936,180130.6071715714,610455.7621948404,279768.29878859565,244324.5935608277,524092.8923494233,890224.0609834361,35.47082126277879,31.861720848639358,39.6691366316435,38.32336555015633,37.16468263575874,34.87721489366287,34.20745624263571,451.49862489504557,389.13140052679984,663.9328686720332,627.3804989764258,-0.013152122467097535,2.0156063665580315,2.069040774871551,0.45481924038598387,1.7051564166683915,-0.9623032531870422,-0.5372093851770952,3.8441094372159847,0.7067156440746614,1.884514938057851,-28299.6463329818,56188.32542319708,196,968.6522390198821,158.14730432977666,350.889331481692,197.68413041222084,548.5734618939128,0.3622448979591837,0.24489795918367346,0.11734693877551021,0.07142857142857142,0.20408163265306123,0.5663265306122449,0.16326530612244897,0.3622448979591837,0.7959183673469388,0.4336734693877551,38.15850003427857,30.017407062502294,584.8939571443591,119.09756204312148,129.9246131379507,193.78755759575878,266.6452829631173
eldo_5k_3,14530,13540,990,0.0681348933241569,3197,4187,5045,2251,0.22002752924982794,0.28816242257398483,0.34721266345492086,0.15492085340674466,0.7799724707501721,0.7118375774260152,39.90433318832125,39.425198014117335,37.471272496507545,37.4444270735659,37.83651948627704,eldorado,5000,3,86,40,17,18,56,31,0,9,69,9,57,126,2,0.05,64.04024584587415,2,0.06451612903225806,64.04024584587415,425.0208803862748,197.68413041222084,84.01575542519386,88.95785868549937,276.7577825771092,766.0260053473557,0,222.39464671374844,1705.0256248054047,222.39464671374844,281.6998858374147,622.7050107984957,65409.19634201496,50944.16726547079,20036.075126229527,70980.24239170032,116353.36360748575,323259.0024958361,251771.33513623298,99020.3522050653,350791.68734129827,575030.337632069,31.118971886974762,40.26913468650649,38.73797587411518,41.93444678403822,43.58794318645704,39.818635218533885,34.28935043476466,246.39247711964998,252.63996282138802,428.62426080844136,598.6575304399844,-0.1996807814042518,-0.40162915262075527,0.4122302401793655,-0.7589235463866377,0.02853563592290904,-0.39788253500314963,-0.5245556737093019,1.432542189504781,-0.7665321561796379,0.09960678583038028,-36585.9489256228,74657.32448362345,126,622.7050107984957,88.95785868549937,276.7577825771092,84.01575542519386,281.6998858374147,0.31746031746031744,0.24603174603174602,0.07142857142857142,0,0.1349206349206349,0.4523809523809524,0.14285714285714285,0.4444444444444444,0.8650793650793651,0.5476190476190477,37.83531980382956,29.734277278746813,488.6616164834656,169.66950138741115,75.70387465273785,107.51900811408393,140.81391522479493
sequ_4k_1,10826,5380,5446,0.503048217254757,3030,8476,663,1070,0.2798817661186034,0.7829299833733604,0.0612414557546647,0.09883613523000184,0.7201182338813966,0.2170700166266396,28.22237000773537,27.956951384804775,27.866372148899256,27.92515146729639,27.80818318167866,sequoia,4000,1,54,69,5,1,70,36,0,33,49,33,74,123,7,0.10144927536231885,99.1735835996663,7,0.19444444444444445,99.1735835996663,266.8735760564981,341.0051249610809,24.710516301527605,4.942103260305521,345.94722822138647,889.5785868549938,0,815.447037950411,1210.8152987748526,815.447037950411,365.71564126260853,607.878701017579,26224.848263682634,83966.90172722963,1002.7234303860383,84969.62515761566,110191.74999091227,129605.90810496353,414973.09878389485,4955.5627344955765,419928.6615183904,544579.0068888584,24.866500544574688,39.36267262341279,15.979406271823743,48.352463284289215,51.25634969011699,38.235876539668304,33.77357575749353,104.01741232944846,305.2669563572957,407.34350512779076,766.6117629524663,0.8910239524614504,0.359352399713307,0.34122407440684294,-0.2747116581727252,-0.13344517188812086,-0.5786689752379051,-0.604249529633865,-0.2414546499990142,-0.19849211085378282,-0.06181609897107037,92852.38257931083,-147637.50430909032,123,607.878701017579,4.942103260305521,345.94722822138647,24.710516301527605,365.71564126260853,0.5609756097560976,0.2926829268292683,0.2682926829268293,0,0.04065040650406504,0.6016260162601627,0.008130081300813009,0.5691056910569106,0.959349593495935,0.39837398373983735,37.669931824230694,29.594601814114302,365.80995642377076,22.40273426094218,36.15524232158089,102.3835366676543,286.40358310067256
sequ_4k_3,12866,8376,4490,0.3489818125291466,5211,9701,53,2120,0.4050209855432924,0.754002798072439,0.004119384424063423,0.1647753769625369,0.5949790144567075,0.24599720192756103,16.994635276104244,17.14972080625034,17.779952326053827,18.01757264025291,17.327969670602897,sequoia,4000,3,18,44,0,0,1,43,0,1,18,1,44,62,7,0.1590909090909091,77.24064409363764,7,0.16279069767441862,77.24064409363764,88.95785868549937,217.45254345344293,0,0,4.942103260305521,1062.552200965687,0,24.710516301527605,444.7892934274969,24.710516301527605,217.45254345344293,306.4104021389423,11304.289163429807,43186.27307749646,0,43186.27307749646,54490.562240926265,55866.96433002282,213431.0209767398,0,213431.0209767398,269297.9853067626,28.277462549214388,35.350990301160266,NaN,34.63214472402838,34.63214472402838,35.350990301160266,33.45182830723568,43.53077446541592,157.97843167142662,201.87807613528935,815.6042132009737,1.2091838261982182,-0.9835562220526851,-1.102567962967776,-1.7209510059097668,-1.5977569494893407,-0.9081875054511869,-0.6539636704687902,-0.9526356476393367,-1.7882804422250926,-1.6203520256390285,124961.74829769609,-252623.25384468166,62,306.4104021389423,0,4.942103260305521,0,217.45254345344293,0.7096774193548387,0.6935483870967742,0.016129032258064516,0,0,0.7096774193548387,0,0.016129032258064516,1,0.29032258064516125,37.79243872402691,29.689696956550705,433.3489836163942,1.7851310532930897,71.40524213172358,175.51543242849604,326.74634618860875
