Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
38.5226812, -120.3275295, -0.100, 14:06:45.488, 10, 0.00, 0.02, 100, 0.500, 1.200, 131.900, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.488, 3, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3201, -89.900, 0.000, 130.500, 0.000, 0.000, -0.300, 0.0, MapPilot_2.8.1_04242018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058163200445, 96, DJI_0838.jpg, Starting Mission from Lat/Long: 38.52268/-120.32753 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No, 31, 31, 31
38.5226811, -120.3275296, 0.000, 14:06:45.588, 10, 0.00, 0.03, 100, 0.200, 0.800, 132.000, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.588, 8, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3301, -89.900, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275297, 0.000, 14:06:45.688, 10, 0.00, 0.04, 100, 0.100, 0.700, 132.000, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.688, 5, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3401, -89.900, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275298, 0.000, 14:06:45.788, 11, 0.00, 0.05, 100, 0.000, 0.300, 131.900, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.788, 4, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3501, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.000, 14:06:45.888, 11, 0.00, 0.05, 100, -0.100, 0.000, 131.700, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.888, 10, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3601, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.000, 14:06:45.988, 11, 0.00, 0.05, 100, -0.100, 0.000, 131.700, 840, 100, 100, 26, 25622, -3938, 5396, 5396, 16, 11, 1529442405.988, 109, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3701, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.100, 14:06:46.089, 11, 0.00, 0.05, 100, 0.000, -0.400, 131.300, 840, 100, 100, 26, 25292, -16324, 5396, 5396, 16, 11, 1529442406.089, 5, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3802, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.100, 14:06:46.188, 11, 0.00, 0.05, 100, 0.000, -0.400, 131.300, 840, 100, 100, 26, 25292, -16324, 5396, 5396, 16, 11, 1529442406.188, 103, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 3901, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.200, 14:06:46.288, 10, 0.00, 0.05, 100, 0.000, -0.500, 131.200, 840, 100, 100, 26, 25292, -16324, 5396, 5396, 16, 11, 1529442406.288, 85, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 4001, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
38.5226811, -120.3275299, 0.200, 14:06:46.388, 10, 0.00, 0.05, 100, 0.000, -0.500, 131.100, 840, 100, 100, 26, 25292, -16324, 5396, 5396, 16, 11, 1529442406.388, 89, 0, 1024, 1024, 1024, 1024, 0, 6, 4250, 4280, 4253, 4281, 4301, 4286, 0, 1, 4101, -90.000, 0.000, 130.400, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 31, 31, 31
