latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
38.744847,-120.4087962,4218.3696664839,0,0.223694,0,3100,2018-06-07 20:16:34,10,0,0,4218.3696664839,0,0.223694,0,0,0,0,52.9, 0, 0.2,1,0,1024,1024,1024,1024,52.6,-90,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448469,-120.4087962,4218.3696664839,0,0.223694,0.036484909304,3200,2018-06-07 20:16:34,10,0,0,4218.3696664839,0,0.223694,0.036484909304,0,0,0,53, -0.6, 0,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448469,-120.4087963,4218.3696664839,0,0,0.046270014604,3300,2018-06-07 20:16:34,10,0,0,4218.3696664839,0,0.223694,0.046270014604,0,0,0,53, -0.9, 0.2,0,0,1024,1024,1024,1024,52.6,-90,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448469,-120.4087963,4218.3696664839,0,0,0.046270014604,3400,2018-06-07 20:16:35,10,0,0,4218.3696664839,0,0.223694,0.046270014604,0,0,0,53, -1.2, 0.5,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448469,-120.4087964,4218.6977504839,0.328084,0,0.067603020536,3600,2018-06-07 20:16:35,9,0,0,4218.6977504839,0.328084,0.223694,0.067603020536,0,0,0,53.1, -0.8, 0.6,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448469,-120.4087963,4218.6977504839,0.328084,0,0.046270014604,3700,2018-06-07 20:16:35,9,0,0,4218.6977504839,0.328084,0.223694,0.067603020536,0,0,0,53.2, -0.3, 0.5,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.744847,-120.4087963,4219.0258344839,0.656168,0,0.0284561032728,3810,2018-06-07 20:16:35,11,0,0,4219.0258344839,0.656168,0.223694,0.067603020536,0,0,0,53.2, 0, 0.3,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,0,73.4,11,AutoTakeoff,
38.7448471,-120.4087963,4219.0258344839,0.656168,0,0.046270014604,4000,2018-06-07 20:16:35,11,0,25.512,4219.0258344839,0.656168,0.223694,0.067603020536,0,0,0,53.3, 0.3, 0.3,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,3.927,73.4,11,AutoTakeoff,
38.7448471,-120.4087962,4219.3539184839,0.984252,0,0.036484909304,4100,2018-06-07 20:16:35,10,0,25.512,4219.3539184839,0.984252,0.223694,0.067603020536,0,0,0,53.3, 0.5, 0.4,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,3.927,73.4,11,AutoTakeoff,
38.744847,-120.4087962,4219.3539184839,0.984252,0,0,4200,2018-06-07 20:16:35,10,0,25.512,4219.3539184839,0.984252,0.223694,0.067603020536,0,0,0,53.3, 0.7, 0.5,0,0,1024,1024,1024,1024,52.6,-89.9,98,4.257,4.269,4.271,4.242,4.254,4.262,3.927,73.4,11,AutoTakeoff,
