Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
36.6440331, -118.9467505, 0.000, 10:38:19.938, 13, 0.10, 0.07, 94, -1.300, -0.600, 13.200, 2, 100, 100, 17, 24891, -3942, 5215, 5548, 8, 11, 1523641099.938, 138, 0, 1024, 1024, 1024, 1024, 0, 6, 4166, 4145, 4140, 4192, 4203, 4144, 0, 1, 3088, -89.900, 0.000, 13.500, 0.000, -0.100, -0.100, 0.0, MapPilot_2.7.4_02272018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058163200505, 98, DJI_0005.jpg, Starting Mission from Lat/Long: 36.64403/-118.94675 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: Yes, 0, 0, 0
36.6440332, -118.9467507, 0.000, 10:38:19.951, 13, 0.14, 0.09, 94, -1.000, -0.300, 13.200, 2, 100, 100, 17, 24891, -3942, 5215, 5548, 8, 11, 1523641099.952, 9, 0, 1024, 1024, 1024, 1024, 0, 6, 4166, 4145, 4140, 4192, 4203, 4144, 0, 1, 3101, -89.900, 0.000, 13.500, 0.100, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
36.6440333, -118.9467509, 0.000, 10:38:20.051, 13, 0.22, 0.11, 94, -0.300, 0.000, 13.100, 2, 100, 100, 17, 24891, -3942, 5215, 5548, 8, 11, 1523641100.052, 66, 0, 1024, 1024, 1024, 1024, 0, 6, 4166, 4145, 4140, 4192, 4203, 4144, 0, 1, 3201, -89.900, 0.000, 13.500, 0.100, -0.200, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440335, -118.9467511, 0.000, 10:38:20.151, 13, 0.22, 0.14, 94, 0.500, 0.300, 13.000, 2, 100, 100, 17, 24891, -3942, 5215, 5548, 8, 11, 1523641100.152, 46, 0, 1024, 1024, 1024, 1024, 0, 6, 4166, 4145, 4140, 4192, 4203, 4144, 0, 1, 3301, -89.900, 0.000, 13.500, 0.100, -0.200, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440336, -118.9467514, 0.100, 10:38:20.251, 14, 0.22, 0.17, 94, 1.000, 0.800, 12.900, 2, 100, 100, 17, 24891, -3942, 5215, 5548, 8, 11, 1523641100.251, 65, 0, 1024, 1024, 1024, 1024, 0, 6, 4166, 4145, 4140, 4192, 4203, 4144, 0, 1, 3401, -89.900, 0.000, 13.500, 0.100, -0.200, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440338, -118.9467516, 0.100, 10:38:20.350, 14, 0.22, 0.19, 94, 1.800, 0.800, 12.900, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.351, 46, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 3500, -89.900, 0.000, 13.500, 0.100, -0.200, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
36.6440339, -118.9467519, 0.100, 10:38:20.451, 12, 0.14, 0.22, 94, 2.500, 0.900, 12.900, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.452, 64, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 3601, -89.900, 0.000, 13.500, 0.100, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
36.6440341, -118.9467521, 0.200, 10:38:20.551, 12, 0.14, 0.25, 94, 2.500, 0.700, 12.900, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.552, 43, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 3701, -89.900, 0.000, 13.500, 0.100, -0.100, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440342, -118.9467523, 0.200, 10:38:20.651, 12, 0.14, 0.27, 94, 2.200, 0.800, 13.100, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.652, 37, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 3801, -89.900, 0.000, 13.500, 0.100, -0.100, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440343, -118.9467524, 0.300, 10:38:20.751, 12, 0.14, 0.28, 94, 1.900, 0.800, 13.300, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.751, 39, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 3900, -89.900, 0.000, 13.500, 0.100, -0.100, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440344, -118.9467525, 0.300, 10:38:20.850, 12, 0.10, 0.30, 94, 1.800, 0.800, 13.400, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.851, 28, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4000, -89.900, 0.000, 13.500, 0.100, 0.000, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440345, -118.9467527, 0.400, 10:38:20.951, 12, 0.10, 0.31, 94, 1.500, 0.800, 13.600, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641100.952, 33, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4101, -89.900, 0.000, 13.500, 0.100, 0.000, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440346, -118.9467527, 0.400, 10:38:21.050, 13, 0.10, 0.33, 94, 1.200, 0.800, 13.700, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641101.051, 28, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4200, -89.900, 0.000, 13.500, 0.100, 0.000, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440348, -118.9467528, 0.400, 10:38:21.150, 13, 0.10, 0.35, 94, 1.100, 1.100, 13.700, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641101.151, 36, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4300, -89.900, 0.000, 13.500, 0.100, 0.000, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440350, -118.9467529, 0.500, 10:38:21.257, 13, 0.10, 0.37, 94, 1.100, 1.300, 13.700, 2, 100, 100, 17, 24302, -8374, 5215, 5548, 8, 11, 1523641101.258, 8, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4407, -89.900, 0.000, 13.500, 0.100, 0.000, -0.500, 0.0, , , , , , 98, , , 0, 0, 0
36.6440351, -118.9467530, 0.500, 10:38:21.352, 13, 0.10, 0.39, 94, 1.200, 1.400, 13.600, 2, 100, 100, 17, 23312, -16477, 5215, 5548, 8, 11, 1523641101.352, 4, 0, 1024, 1024, 1024, 1024, 0, 6, 3958, 4005, 3969, 4027, 4022, 4002, 0, 1, 4502, -89.900, 0.000, 13.500, 0.100, 0.000, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
36.6440352, -118.9467531, 0.600, 10:38:21.452, 13, 0.10, 0.40, 94, 1.400, 1.500, 13.400, 2, 100, 100, 17, 23312, -16477, 5215, 5548, 8, 11, 1523641101.452, 9, 0, 1024, 1024, 1024, 1024, 0, 6, 3843, 3867, 3841, 3897, 3895, 3865, 0, 1, 4602, -89.900, 0.000, 13.500, 0.100, 0.000, -0.500, 0.0, , , , , , 98, , , 0, 0, 0
