latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
36.6869866,-118.9584878,4940.6166354619,0,0.223694,0,2920,2018-04-13 21:26:45,18,0,0,4940.6166354619,0,0.223694,0,0,0,0,140.7, -2.6, -1,1,0,1024,1024,1024,1024,140.4,-90,100,4.262,4.233,4.253,4.243,0,0,0,59,11,AutoTakeoff,DJI_0269.jpg Starting Mission from Lat/Long: 36.68699/-118.95849 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: Yes
36.6869866,-118.9584876,4940.6166354619,0,0.447388,0.05851542182,3000,2018-04-13 21:26:45,18,0,25.504,4940.6166354619,0,0.447388,0.05851542182,0,0,0,140.7, -2.2, -1.2,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869865,-118.9584874,4940.6166354619,0,0.447388,0.122585961928,3100,2018-04-13 21:26:45,18,0,25.504,4940.6166354619,0,0.447388,0.122585961928,0,0,0,140.7, -1.1, -0.3,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869864,-118.9584871,4940.6166354619,0,0.447388,0.21741470512,3200,2018-04-13 21:26:45,18,0,25.504,4940.6166354619,0,0.447388,0.21741470512,0,0,0,140.7, 0, 0.2,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869863,-118.9584867,4940.6166354619,0,0.671082,0.33993767492,3300,2018-04-13 21:26:46,18,0,25.504,4940.6166354619,0,0.671082,0.33993767492,0,0,0,140.7, 1.2, 0.8,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869862,-118.9584863,4940.9447194619,0.328084,0.671082,0.46249345312,3400,2018-04-13 21:26:46,18,0,25.504,4940.9447194619,0.328084,0.671082,0.46249345312,0,0,0,140.8, 2.2, 1.6,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869862,-118.9584859,4940.9447194619,0.328084,0.671082,0.57473427036,3500,2018-04-13 21:26:46,18,0,25.504,4940.9447194619,0.328084,0.671082,0.57473427036,0,0,0,140.8, 2.8, 2.2,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869861,-118.9584856,4941.2728034619,0.656168,0.447388,0.66902233112,3600,2018-04-13 21:26:46,18,0,25.504,4941.2728034619,0.656168,0.671082,0.66902233112,0,0,0,140.9, 2.8, 2.3,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.6869861,-118.9584853,4941.2728034619,0.656168,0.447388,0.75384844932,3700,2018-04-13 21:26:46,18,0,25.504,4941.2728034619,0.656168,0.671082,0.75384844932,0,0,0,140.9, 2.6, 2.3,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
36.686986,-118.9584851,4941.2728034619,0.656168,0.447388,0.81972771652,3800,2018-04-13 21:26:46,16,0,25.504,4941.2728034619,0.656168,0.671082,0.81972771652,0,0,0,140.9, 2.4, 2.3,0,0,1024,1024,1024,1024,140.4,-89.9,100,4.262,4.233,4.253,4.243,0,0,3.854,59,11,AutoTakeoff,
