Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
37.2865881, -119.5625621, 0.000, 14:06:17.493, 17, 0.00, 0.03, 98, -0.800, 0.000, -43.900, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.494, 99, 0, 1024, 1024, 1024, 1024, 0, 6, 4289, 4233, 4312, 4310, 4318, 4310, 0, 1, 3055, -90.000, 0.000, -45.100, 0.000, 0.000, -0.100, 0.0, MapPilot_2.7.4_02272018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058171200149, 99, DJI_0701.jpg, Starting Mission from Lat/Long: 37.28659/-119.56255 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: Yes, 21, 21, 21
37.2865880, -119.5625624, 0.000, 14:06:17.539, 17, 0.10, 0.03, 98, 0.000, 0.000, -44.100, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.540, 36, 0, 1024, 1024, 1024, 1024, 0, 6, 4289, 4233, 4312, 4310, 4318, 4310, 0, 1, 3101, -89.900, 0.000, -45.100, 0.000, -0.100, -0.300, 0.0, , , , , , 99, , , 21, 21, 21
37.2865880, -119.5625626, 0.100, 14:06:17.639, 17, 0.10, 0.04, 98, 0.200, 0.100, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.640, 43, 0, 1024, 1024, 1024, 1024, 0, 6, 4289, 4233, 4312, 4310, 4318, 4310, 0, 1, 3201, -89.900, 0.000, -45.100, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865879, -119.5625627, 0.100, 14:06:17.739, 17, 0.10, 0.05, 98, 0.300, 0.400, -43.900, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.739, 35, 0, 1024, 1024, 1024, 1024, 0, 6, 4289, 4233, 4312, 4310, 4318, 4310, 0, 1, 3301, -89.900, 0.000, -45.100, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865879, -119.5625629, 0.200, 14:06:17.839, 17, 0.10, 0.07, 98, 0.600, 0.700, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.840, 50, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3401, -89.900, 0.000, -45.000, 0.000, -0.100, -0.300, 0.0, , , , , , 99, , , 21, 21, 21
37.2865878, -119.5625632, 0.200, 14:06:17.939, 17, 0.10, 0.09, 98, 1.300, 0.900, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480777.940, 22, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3501, -89.900, 0.000, -45.000, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865877, -119.5625633, 0.300, 14:06:18.039, 17, 0.10, 0.10, 98, 1.700, 0.800, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480778.040, 23, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3601, -89.900, 0.000, -45.000, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865877, -119.5625635, 0.300, 14:06:18.145, 17, 0.10, 0.12, 98, 1.700, 0.800, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480778.145, 15, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3706, -89.900, 0.000, -45.000, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865876, -119.5625636, 0.400, 14:06:18.239, 16, 0.10, 0.13, 98, 1.500, 0.700, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480778.239, 18, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3800, -89.900, 0.000, -45.000, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
37.2865875, -119.5625638, 0.400, 14:06:18.339, 16, 0.10, 0.15, 98, 1.400, 0.600, -44.000, 442, 100, 100, 21, 25096, -5098, 5492, 5605, 5, 11, 1523480778.339, 22, 0, 1024, 1024, 1024, 1024, 0, 6, 4172, 4156, 4199, 4169, 4218, 4294, 0, 1, 3900, -89.900, 0.000, -45.000, 0.000, -0.100, -0.400, 0.0, , , , , , 99, , , 21, 21, 21
