latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
37.2865877,-119.5625555,4499.0849369497,0,0,0,3030,2018-04-11 21:45:06,16,0,25.596,4499.0849369497,0,0,0,0,0,0,311.4, 0, 0.3,1,0,1024,1024,1024,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,DJI_0175.jpg Starting Mission from Lat/Long: 37.28659/-119.56255 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: Yes
37.2865878,-119.5625554,4499.0849369497,0,0,0.046623689156,3100,2018-04-11 21:45:06,16,0,25.596,4499.0849369497,0,0,0.046623689156,0,0,0,311.6, 0.3, 0,0,0,1024,1024,1025,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865879,-119.5625553,4499.4130209497,0.328084,0.223694,0.093247378312,3200,2018-04-11 21:45:06,16,0,25.596,4499.4130209497,0.328084,0.223694,0.093247378312,0,0,0,311.6, 0, -0.3,0,0,1024,1024,1025,1024,310.5,-90,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.286588,-119.5625552,4499.4130209497,0.328084,0.223694,0.139871395552,3300,2018-04-11 21:45:06,16,0,25.596,4499.4130209497,0.328084,0.223694,0.139871395552,0,0,0,311.6, 0, -0.4,0,0,1024,1024,1025,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865881,-119.5625549,4499.7411049497,0.656168,0.3131716,0.227228681812,3500,2018-04-11 21:45:07,16,0,25.596,4499.7411049497,0.656168,0.3131716,0.227228681812,0,0,0,311.6, 0, -0.9,0,0,1024,1024,1024,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865882,-119.5625548,4499.7411049497,0.656168,0.3131716,0.273070218712,3700,2018-04-11 21:45:07,13,0,25.596,4499.7411049497,0.656168,0.3131716,0.273070218712,0,0,0,311.6, 0.1, -1.3,0,0,1024,1024,1025,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865883,-119.5625546,4500.0691889497,0.984252,0.3131716,0.34084318676,3800,2018-04-11 21:45:07,13,0,25.596,4500.0691889497,0.984252,0.3131716,0.34084318676,0,0,0,311.6, 0.2, -1.7,0,0,1024,1024,1025,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865884,-119.5625543,4500.0691889497,0.984252,0.223694,0.43192914768,3910,2018-04-11 21:45:07,13,0,25.596,4500.0691889497,0.984252,0.3131716,0.43192914768,0,0,-0.223694,311.6, 0.2, -2.4,0,0,1024,1024,1025,1024,310.5,-89.9,100,4.218,4.22,4.219,4.257,0,0,3.605,73.4,11,AutoTakeoff,
37.2865885,-119.5625541,4500.3972729497,1.312336,0.223694,0.50034778504,4010,2018-04-11 21:45:07,14,0,24.605,4500.3972729497,1.312336,0.3131716,0.50034778504,0,0,-0.223694,311.6, -0.1, -2.5,0,0,1024,1024,1025,1024,310.5,-90,100,4.024,4.066,4.033,4.095,0,0,12.806,73.4,11,AutoTakeoff,
37.2865886,-119.5625537,4500.7253569497,1.64042,0.223694,0.61711616148,4300,2018-04-11 21:45:07,15,0,24.605,4500.7253569497,1.64042,0.3131716,0.61711616148,0,0,-0.223694,311.5, -0.6, -2.9,0,0,1024,1024,1025,1024,310.5,-90,100,4.024,4.066,4.033,4.095,0,0,12.806,73.4,11,AutoTakeoff,
