Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
38.4803500, -120.3385765, 0.000, 16:39:59.724, 12, 0.00, 0.06, 100, 0.000, -1.100, 77.700, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920399.724, 42, 0, 1024, 1024, 1024, 1024, 0, 6, 4321, 4306, 4320, 4325, 4314, 4321, 0, 1, 2929, -89.900, 0.000, 78.200, 0.000, 0.000, -0.100, 0.0, MapPilot_2.8.1_04242018, Dendroctonus I, , 041DDC1887, 1058163200459, 95, DJI_0777.jpg, Starting Mission from Lat/Long: 38.48035/-120.33858 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No, 29, 29, 29
38.4803500, -120.3385764, 0.000, 16:39:59.795, 12, 0.00, 0.07, 100, -0.100, -0.500, 77.800, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920399.796, 15, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3001, -89.900, 0.000, 78.200, 0.000, 0.000, -0.300, 0.0, , , , , , 95, , , 29, 29, 29
38.4803501, -120.3385763, 0.000, 16:39:59.895, 12, 0.00, 0.08, 100, 0.000, -0.100, 77.900, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920399.895, 15, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3101, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803502, -120.3385762, 0.000, 16:39:59.995, 12, 0.10, 0.09, 100, 0.200, 0.200, 77.800, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920399.996, 18, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3201, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803503, -120.3385761, 0.100, 16:40:00.095, 12, 0.10, 0.11, 100, 0.400, 0.300, 77.700, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.096, 22, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3301, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803507, -120.3385758, 0.100, 16:40:00.195, 12, 0.10, 0.15, 100, 0.600, 0.800, 77.500, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.196, 14, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3401, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803509, -120.3385757, 0.200, 16:40:00.295, 12, 0.10, 0.17, 100, 1.000, 1.200, 77.500, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.296, 14, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3501, -89.900, 0.000, 78.200, 0.100, 0.000, -0.300, 0.0, , , , , , 95, , , 29, 29, 29
38.4803510, -120.3385756, 0.200, 16:40:00.395, 13, 0.10, 0.19, 100, 1.400, 1.300, 77.400, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.396, 2, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3601, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803510, -120.3385756, 0.200, 16:40:00.495, 13, 0.10, 0.19, 100, 1.400, 1.300, 77.400, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.496, 103, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3701, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803511, -120.3385755, 0.300, 16:40:00.595, 13, 0.10, 0.20, 100, 1.600, 1.300, 77.400, 780, 100, 100, 28, 25807, -3182, 5320, 5320, 20, 11, 1530920400.595, 95, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3801, -89.900, 0.000, 78.200, 0.100, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803512, -120.3385754, 0.300, 16:40:00.695, 12, 0.00, 0.22, 100, 1.500, 1.300, 77.500, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920400.696, 48, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 3901, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803513, -120.3385753, 0.400, 16:40:00.795, 12, 0.00, 0.23, 100, 1.400, 1.200, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920400.796, 65, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 4001, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803513, -120.3385753, 0.400, 16:40:00.895, 12, 0.00, 0.23, 100, 1.400, 1.200, 77.700, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920400.896, 67, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 4101, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803513, -120.3385752, 0.500, 16:40:00.995, 12, 0.00, 0.24, 100, 1.400, 1.400, 77.800, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920400.996, 61, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 4201, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803514, -120.3385751, 0.500, 16:40:01.095, 11, 0.00, 0.25, 100, 1.400, 1.500, 77.800, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.096, 63, 0, 1024, 1024, 1024, 1024, 0, 6, 4279, 4303, 4280, 4266, 4303, 4305, 0, 1, 4301, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803515, -120.3385751, 0.600, 16:40:01.195, 11, 0.00, 0.26, 100, 1.400, 1.600, 77.800, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.196, 65, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4401, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803516, -120.3385751, 0.600, 16:40:01.295, 12, 0.00, 0.27, 100, 1.800, 1.700, 77.800, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.296, 52, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4501, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803517, -120.3385751, 0.700, 16:40:01.395, 12, 0.00, 0.28, 100, 2.200, 1.700, 77.700, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.396, 30, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4601, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385751, 0.700, 16:40:01.495, 12, 0.00, 0.28, 100, 2.300, 1.700, 77.700, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.496, 30, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4701, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385751, 0.800, 16:40:01.595, 12, 0.00, 0.29, 100, 2.300, 1.600, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.596, 31, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4801, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385751, 0.800, 16:40:01.695, 12, 0.00, 0.29, 100, 2.300, 1.500, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.696, 23, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 4901, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385751, 0.900, 16:40:01.795, 12, 0.00, 0.29, 100, 2.200, 1.500, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 11, 1530920401.796, 27, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 5001, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385751, 0.900, 16:40:01.895, 12, 0.00, 0.29, 100, 2.100, 1.500, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 14, 1530920401.896, 27, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 5101, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385751, 0.900, 16:40:01.995, 12, 0.00, 0.28, 100, 1.500, 1.100, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 14, 1530920401.996, 29, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 5201, -89.900, 0.000, 78.200, 0.000, 0.000, -0.300, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385751, 1.000, 16:40:02.096, 11, 0.00, 0.28, 100, 0.500, 0.200, 77.600, 780, 100, 100, 28, 24866, -13238, 5320, 5320, 20, 14, 1530920402.096, 2, 0, 1024, 1024, 1024, 1024, 0, 6, 4147, 4160, 4134, 4130, 4134, 4160, 0, 1, 5301, -89.900, 0.000, 78.200, 0.000, 0.000, -0.200, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385750, 1.000, 16:40:02.196, 10, 0.00, 0.29, 100, 0.500, 0.000, 77.500, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.196, 2, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5401, -90.000, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803518, -120.3385750, 1.000, 16:40:02.295, 10, 0.00, 0.29, 100, 0.500, 0.000, 77.500, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.296, 101, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5501, -90.000, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385750, 1.100, 16:40:02.395, 10, 0.00, 0.30, 100, 0.700, 0.300, 77.400, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.395, 96, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5600, -89.900, 0.000, 78.200, 0.000, 0.000, -0.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385749, 1.100, 16:40:02.495, 12, 0.00, 0.30, 100, 0.600, 0.600, 77.200, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.495, 89, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5700, -89.900, 0.000, 78.200, 0.000, 0.000, -0.600, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385749, 1.200, 16:40:02.595, 12, 0.00, 0.30, 100, 0.600, 1.000, 77.000, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.595, 90, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5800, -89.900, 0.000, 78.200, 0.000, 0.000, -0.800, 0.0, , , , , , 95, , , 29, 29, 29
38.4803519, -120.3385748, 1.300, 16:40:02.695, 12, 0.00, 0.31, 100, 0.800, 1.200, 76.900, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.695, 79, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 5900, -89.900, 0.000, 78.200, 0.000, 0.000, -0.900, 0.0, , , , , , 95, , , 29, 29, 29
38.4803520, -120.3385747, 1.400, 16:40:02.795, 12, 0.00, 0.32, 100, 0.900, 1.100, 77.000, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.796, 58, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 6001, -89.900, 0.000, 78.200, 0.000, 0.000, -1.100, 0.0, , , , , , 95, , , 29, 29, 29
38.4803521, -120.3385746, 1.500, 16:40:02.895, 11, 0.00, 0.33, 100, 1.000, 1.200, 77.100, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.895, 57, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 6100, -89.900, 0.000, 78.200, 0.000, 0.000, -1.300, 0.0, , , , , , 95, , , 29, 29, 29
38.4803522, -120.3385746, 1.700, 16:40:02.995, 11, 0.00, 0.35, 100, 1.400, 1.400, 77.300, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920402.995, 59, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 6200, -89.900, 0.000, 78.200, 0.000, 0.000, -1.600, 0.0, , , , , , 95, , , 29, 29, 29
38.4803524, -120.3385745, 1.800, 16:40:03.095, 11, 0.00, 0.37, 100, 1.700, 1.500, 77.500, 780, 100, 100, 28, 24673, -15503, 5320, 5320, 20, 14, 1530920403.095, 67, 0, 1024, 1024, 1024, 1024, 0, 6, 4091, 4120, 4115, 4099, 4103, 4123, 0, 1, 6300, -89.900, 0.000, 78.100, 0.000, 0.000, -1.800, 0.0, , , , , , 95, , , 29, 29, 29
38.4803525, -120.3385744, 2.000, 16:40:03.195, 11, 0.00, 0.38, 100, 2.100, 1.500, 77.600, 780, 100, 100, 28, 24568, -16249, 5213, 5320, 20, 14, 1530920403.195, 58, 0, 1024, 1024, 1024, 1024, 0, 6, 4073, 4099, 4105, 4087, 4124, 4101, 0, 1, 6400, -89.900, 0.000, 78.100, 0.000, 0.000, -2.000, 0.0, , , , , , 95, , , 29, 29, 29
38.4803528, -120.3385743, 2.300, 16:40:03.295, 11, 0.00, 0.41, 100, 2.400, 1.500, 77.600, 780, 100, 100, 28, 24568, -16249, 5213, 5320, 20, 14, 1530920403.295, 64, 0, 1024, 1024, 1024, 1024, 0, 6, 4073, 4099, 4105, 4087, 4124, 4101, 0, 1, 6500, -89.900, 0.000, 78.100, 0.000, 0.000, -2.300, 0.0, , , , , , 95, , , 29, 29, 29
38.4803531, -120.3385742, 2.500, 16:40:03.395, 11, 0.10, 0.44, 100, 2.800, 1.400, 77.700, 780, 100, 100, 28, 24568, -16249, 5213, 5320, 20, 14, 1530920403.395, 56, 0, 1024, 1024, 1024, 1024, 0, 6, 4073, 4099, 4105, 4087, 4124, 4101, 0, 1, 6600, -89.900, 0.000, 78.100, 0.100, 0.000, -2.400, 0.0, , , , , , 95, , , 29, 29, 29
38.4803534, -120.3385743, 2.700, 16:40:03.495, 11, 0.10, 0.47, 100, 3.200, 1.300, 77.600, 780, 100, 100, 28, 24568, -16249, 5213, 5320, 20, 14, 1530920403.495, 58, 0, 1024, 1024, 1024, 1024, 0, 6, 4073, 4099, 4105, 4087, 4124, 4101, 0, 1, 6700, -89.900, 0.000, 78.100, 0.100, 0.000, -2.700, 0.0, , , , , , 95, , , 29, 29, 29
