Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
36.0028500, -118.5646159, 0.000, 09:56:51.460, 12, 0.10, 0.01, 98, -0.500, -0.100, 52.900, 338, 100, 95, 17, 25316, -3785, 5269, 5377, 17, 11, 1530723411.461, 1, 0, 1024, 1024, 1024, 1024, 0, 6, 4236, 4189, 4174, 4177, 4184, 4189, 0, 1, 3300, -89.900, 0.000, 52.200, 0.100, 0.000, -0.300, 0.0, MapPilot_2.8.1_04242018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058171200279, 96, DJI_0337.jpg, Starting Mission from Lat/Long: 36.00285/-118.56462 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No, 13, 13, 13
36.0028500, -118.5646159, 0.000, 09:56:51.561, 12, 0.10, 0.01, 98, -0.500, -0.100, 52.900, 338, 100, 95, 17, 25316, -3785, 5269, 5377, 17, 11, 1530723411.561, 102, 0, 1024, 1024, 1024, 1024, 0, 6, 4236, 4189, 4174, 4177, 4184, 4189, 0, 1, 3400, -89.900, 0.000, 52.200, 0.100, 0.000, -0.300, 0.0, , , , , , 96, , , 13, 13, 13
36.0028501, -118.5646160, 0.000, 09:56:51.661, 12, 0.10, 0.02, 98, -0.300, 0.200, 52.900, 338, 100, 95, 17, 25316, -3785, 5269, 5377, 17, 11, 1530723411.661, 95, 0, 1024, 1024, 1024, 1024, 0, 6, 4236, 4189, 4174, 4177, 4184, 4189, 0, 1, 3500, -89.900, 0.000, 52.200, 0.100, 0.000, -0.300, 0.0, , , , , , 96, , , 13, 13, 13
36.0028503, -118.5646160, 0.100, 09:56:51.761, 12, 0.10, 0.04, 98, 0.000, 0.300, 52.900, 338, 100, 95, 17, 25316, -3785, 5269, 5377, 17, 11, 1530723411.761, 74, 0, 1024, 1024, 1024, 1024, 0, 6, 4236, 4189, 4174, 4177, 4184, 4189, 0, 1, 3600, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028505, -118.5646160, 0.100, 09:56:51.861, 12, 0.20, 0.06, 98, 1.000, 0.500, 53.000, 338, 100, 95, 17, 25316, -3785, 5269, 5377, 17, 11, 1530723411.861, 69, 0, 1024, 1024, 1024, 1024, 0, 6, 4236, 4189, 4174, 4177, 4184, 4189, 0, 1, 3700, -89.900, 0.000, 52.200, 0.200, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028507, -118.5646161, 0.200, 09:56:51.960, 12, 0.20, 0.08, 98, 1.900, 0.700, 53.000, 338, 100, 95, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723411.960, 71, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 3800, -89.900, 0.000, 52.200, 0.200, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028509, -118.5646162, 0.200, 09:56:52.061, 12, 0.10, 0.11, 98, 2.200, 0.800, 53.000, 338, 100, 96, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.061, 85, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 3900, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028510, -118.5646163, 0.300, 09:56:52.161, 12, 0.10, 0.12, 98, 2.400, 0.800, 53.100, 338, 100, 96, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.161, 76, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4000, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028511, -118.5646163, 0.300, 09:56:52.261, 10, 0.10, 0.13, 98, 2.400, 0.700, 53.100, 338, 100, 96, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.261, 57, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4100, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028512, -118.5646165, 0.400, 09:56:52.361, 10, 0.10, 0.15, 98, 2.200, 0.400, 53.100, 338, 100, 96, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.361, 68, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4200, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028513, -118.5646166, 0.400, 09:56:52.461, 10, 0.10, 0.17, 98, 2.200, 0.200, 53.000, 338, 100, 96, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.461, 69, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4300, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028514, -118.5646166, 0.500, 09:56:52.561, 10, 0.10, 0.18, 98, 1.900, 0.100, 52.900, 338, 100, 98, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.561, 50, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4400, -89.900, 0.000, 52.200, 0.100, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028516, -118.5646167, 0.500, 09:56:52.661, 11, 0.10, 0.19, 98, 1.500, 0.200, 52.800, 338, 100, 98, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.661, 54, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4500, -89.900, 0.000, 52.200, 0.100, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028519, -118.5646170, 0.600, 09:56:52.761, 11, 0.10, 0.24, 98, 1.800, 0.300, 52.800, 338, 100, 98, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.761, 12, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4600, -89.900, 0.000, 52.200, 0.100, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028521, -118.5646171, 0.700, 09:56:52.861, 11, 0.10, 0.26, 98, 1.900, 0.200, 52.900, 338, 100, 98, 17, 24046, -12583, 5269, 5377, 17, 11, 1530723412.861, 42, 0, 1024, 1024, 1024, 1024, 0, 6, 4024, 3971, 3942, 3939, 3949, 3973, 0, 1, 4700, -89.900, 0.000, 52.200, 0.100, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028522, -118.5646173, 0.700, 09:56:52.961, 11, 0.00, 0.28, 98, 2.000, 0.100, 53.000, 338, 100, 98, 17, 23432, -17475, 5215, 5377, 17, 11, 1530723412.961, 45, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 4800, -89.900, 0.000, 52.200, 0.000, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028523, -118.5646174, 0.800, 09:56:53.061, 11, 0.00, 0.29, 98, 2.200, 0.000, 53.200, 338, 100, 98, 17, 23432, -17475, 5215, 5377, 17, 11, 1530723413.061, 52, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 4900, -89.900, 0.000, 52.200, 0.000, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028524, -118.5646175, 0.800, 09:56:53.161, 11, 0.00, 0.31, 98, 2.700, 0.000, 53.300, 338, 100, 98, 17, 23432, -17475, 5215, 5377, 17, 11, 1530723413.161, 31, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5000, -89.900, 0.000, 52.200, 0.000, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028526, -118.5646177, 0.900, 09:56:53.261, 11, 0.00, 0.34, 98, 3.000, 0.000, 53.300, 338, 100, 98, 17, 23432, -17475, 5215, 5377, 17, 6, 1530723413.261, 32, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5100, -89.900, 0.000, 52.200, 0.000, 0.000, -0.500, 0.0, , , , , , 96, , , 13, 13, 13
36.0028528, -118.5646179, 0.900, 09:56:53.361, 12, 0.00, 0.36, 98, 3.400, -0.100, 53.200, 338, 100, 98, 17, 23432, -17475, 5215, 5377, 17, 14, 1530723413.361, 16, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5200, -89.900, 0.000, 52.200, 0.000, 0.000, -0.400, 0.0, , , , , , 96, , , 13, 13, 13
36.0028529, -118.5646180, 1.000, 09:56:53.461, 12, 0.00, 0.37, 98, 2.900, -0.200, 53.200, 338, 100, 99, 17, 23432, -17475, 5215, 5377, 17, 14, 1530723413.461, 19, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5300, -90.000, 0.000, 52.200, 0.000, 0.000, -0.300, 0.0, , , , , , 96, , , 13, 13, 13
36.0028530, -118.5646181, 1.000, 09:56:53.561, 11, 0.00, 0.39, 98, 2.400, -0.300, 53.200, 338, 100, 99, 17, 23432, -17475, 5215, 5377, 17, 14, 1530723413.561, 20, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5400, -89.900, 0.000, 52.200, 0.000, 0.000, -0.300, 0.0, , , , , , 96, , , 13, 13, 13
36.0028531, -118.5646182, 1.000, 09:56:53.661, 11, 0.00, 0.40, 98, 2.200, -0.200, 53.300, 338, 100, 99, 17, 23432, -17475, 5215, 5377, 17, 14, 1530723413.661, 24, 0, 1024, 1024, 1024, 1024, 0, 6, 3924, 3883, 3875, 3882, 3909, 3905, 0, 1, 5500, -89.900, 0.000, 52.200, 0.000, 0.000, -0.300, 0.0, , , , , , 96, , , 13, 13, 13
