latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
37.0262487,-119.2351947,3456.7017546433,0,0.3131716,0,3030,2018-06-18 21:43:47,12,0,25.873,3456.7017546433,0,0.3131716,0,0,0,0,334, 1, 0.4,1,0,1024,1024,1024,1024,330.2,-90,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,DJI_0216.jpg Starting Mission from Lat/Long: 37.02625/-119.23520 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No
37.0262484,-119.2351945,3456.7017546433,0,0.223694,0.123992458036,3200,2018-06-18 21:43:47,11,0,25.873,3456.7017546433,0,0.3131716,0.123992458036,0,0,0,334.6, -0.5, -0.4,0,0,1024,1024,1024,1024,330.5,-90,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262483,-119.2351944,3456.7017546433,0,0.223694,0.170101383396,3300,2018-06-18 21:43:47,11,0,25.873,3456.7017546433,0,0.3131716,0.170101383396,0,0,0,334.7, -0.8, -0.1,0,0,1024,1024,1024,1024,330.6,-90,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262481,-119.2351944,3456.7017546433,0,0.223694,0.235706372372,3400,2018-06-18 21:43:47,11,0,25.873,3456.7017546433,0,0.3131716,0.235706372372,0,0,0,334.5, -0.8, 0,0,0,1024,1024,1024,1024,330.7,-89.9,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262479,-119.2351944,3456.7017546433,0,0.223694,0.304679471692,3500,2018-06-18 21:43:47,11,0,25.873,3456.7017546433,0,0.3131716,0.304679471692,0,0,0,334.3, -1.2, 0.3,0,0,1024,1024,1024,1024,330.8,-90,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262478,-119.2351944,3457.0298386433,0.328084,0.223694,0.33979331796,3600,2018-06-18 21:43:48,11,0,25.873,3457.0298386433,0.328084,0.3131716,0.33979331796,0,0,0,334.2, -1.6, 0.4,0,0,1024,1024,1024,1024,330.9,-90,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262477,-119.2351944,3457.0298386433,0.328084,0.223694,0.37516733484,3700,2018-06-18 21:43:48,11,0,25.873,3457.0298386433,0.328084,0.3131716,0.37516733484,0,0,0,334.1, -1, 0.5,0,0,1024,1024,1024,1024,331,-89.9,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262477,-119.2351944,3457.3579226433,0.656168,0,0.37516733484,3800,2018-06-18 21:43:48,10,0,25.873,3457.3579226433,0.656168,0.3131716,0.37516733484,0,0,0,334.2, -0.7, 0.6,0,0,1024,1024,1024,1024,331.1,-89.9,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262475,-119.2351945,3457.3579226433,0.656168,0.223694,0.44167652332,3900,2018-06-18 21:43:48,10,0,25.873,3457.3579226433,0.656168,0.3131716,0.44167652332,0,0,0,334.3, -0.4, 0.7,0,0,1024,1024,1024,1024,331.2,-89.9,100,4.307,4.315,4.312,4.312,4.315,4.266,1.287,80.6,11,AutoTakeoff,
37.0262473,-119.2351946,3457.6860066433,0.984252,0.223694,0.51161747044,4000,2018-06-18 21:43:48,10,0,25.751,3457.6860066433,0.984252,0.3131716,0.51161747044,0,0,0,334.4, -0.4, 0.9,0,0,1024,1024,1024,1024,331.3,-89.9,100,4.162,4.18,4.29,4.276,4.282,4.274,7.491,80.6,11,AutoTakeoff,
