Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
37.2865880, -119.5625591, 0.000, 14:27:04.328, 15, 0.00, 0.08, 98, -0.300, 0.400, -45.900, 679, 100, 100, 22, 25803, -2555, 5474, 5586, 6, 11, 1523482024.328, 73, 0, 1024, 1024, 1025, 1024, 0, 6, 4265, 4279, 4139, 4289, 4306, 4273, 0, 1, 3130, -89.900, 0.000, -46.700, 0.000, 0.000, -0.200, 0.0, MapPilot_2.7.4_02272018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058171200279, 99, DJI_0937.jpg, Starting Mission from Lat/Long: 37.28658/-119.56258 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: Yes, 33, 33, 33
37.2865879, -119.5625592, 0.100, 14:27:04.397, 15, 0.00, 0.07, 98, 0.300, 0.000, -45.900, 679, 100, 100, 22, 25803, -2555, 5474, 5586, 6, 11, 1523482024.398, 29, 0, 1024, 1024, 1025, 1024, 0, 6, 4265, 4279, 4139, 4289, 4306, 4273, 0, 1, 3200, -90.000, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865879, -119.5625592, 0.100, 14:27:04.498, 15, 0.00, 0.07, 98, 0.500, 0.000, -45.900, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.498, 40, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3300, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865879, -119.5625592, 0.200, 14:27:04.598, 16, 0.00, 0.07, 98, 0.400, -0.200, -46.000, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.598, 45, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3401, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865878, -119.5625592, 0.200, 14:27:04.698, 16, 0.00, 0.07, 98, 0.200, -0.300, -46.100, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.698, 43, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3500, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865878, -119.5625592, 0.300, 14:27:04.797, 15, 0.00, 0.07, 98, 0.000, -0.200, -46.200, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.798, 47, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3600, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865878, -119.5625592, 0.300, 14:27:04.897, 15, 0.00, 0.06, 98, -0.200, -0.100, -46.200, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.898, 37, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3700, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865877, -119.5625593, 0.400, 14:27:04.998, 16, 0.00, 0.06, 98, -0.100, 0.200, -46.200, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482024.998, 30, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3800, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
37.2865877, -119.5625593, 0.400, 14:27:05.097, 16, 0.00, 0.05, 98, 0.100, 0.300, -46.100, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482025.098, 17, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 3900, -89.900, 0.000, -46.700, 0.000, 0.000, -0.300, 0.0, , , , , , 99, , , 33, 33, 33
37.2865877, -119.5625593, 0.500, 14:27:05.198, 17, 0.00, 0.05, 98, 0.600, 0.200, -45.900, 679, 100, 100, 22, 25697, -3016, 5474, 5586, 6, 11, 1523482025.198, 16, 0, 1024, 1024, 1025, 1024, 0, 6, 4266, 4253, 4253, 4237, 4288, 4263, 0, 1, 4000, -89.900, 0.000, -46.700, 0.000, 0.000, -0.400, 0.0, , , , , , 99, , , 33, 33, 33
