latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
38.1644469,-120.1138958,4997.5142990281,0,0,0,3200,2018-05-11 18:08:02,14,0,0,4997.5142990281,0,0,0,0,0,0,277.1, 1.3, 1,1,0,1024,1024,1024,1024,274.7,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644469,-120.1138959,4997.5142990281,0,0,0.0286859261148,3300,2018-05-11 18:08:02,14,0,0,4997.5142990281,0,0,0.0286859261148,0,0,0,277.1, 0.9, 0.8,0,0,1024,1024,1024,1024,274.7,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644469,-120.1138959,4997.5142990281,0,0,0.0286859261148,3400,2018-05-11 18:08:02,15,0,0,4997.5142990281,0,0,0.0286859261148,0,0,0,277, 0.6, 0.5,0,0,1024,1024,1024,1024,274.8,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.164447,-120.1138959,4997.5142990281,0,0,0.046411418808,3500,2018-05-11 18:08:02,15,0,0,4997.5142990281,0,0,0.046411418808,0,0,0,276.9, 0.2, 0.3,0,0,1024,1024,1024,1024,274.8,-90,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644471,-120.113896,4997.8423830281,0.328084,0,0.0928231657,3600,2018-05-11 18:08:02,14,0,0,4997.8423830281,0.328084,0,0.0928231657,0,0,0,276.8, 0, 0,0,0,1024,1024,1024,1024,274.9,-90,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644472,-120.113896,4997.8423830281,0.328084,0,0.12357940028,3700,2018-05-11 18:08:03,14,0,0,4997.8423830281,0.328084,0,0.12357940028,0,0,0,276.7, -0.1, -0.2,0,0,1024,1024,1024,1024,274.9,-90,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644473,-120.1138961,4998.1704670281,0.656168,0,0.169423561852,3800,2018-05-11 18:08:03,14,0,0,4998.1704670281,0.656168,0,0.169423561852,0,0,0,276.7, 0, -0.4,0,0,1024,1024,1024,1024,275,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644474,-120.1138961,4998.1704670281,0.656168,0,0.20170440278,3900,2018-05-11 18:08:03,14,0,0,4998.1704670281,0.656168,0,0.20170440278,0,0,0,276.7, 0.3, -0.7,0,0,1024,1024,1024,1024,275,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,0,57.2,11,AutoTakeoff,
38.1644475,-120.1138962,4998.4985510281,0.984252,0,0.247159128644,4000,2018-05-11 18:08:03,14,0,24.747,4998.4985510281,0.984252,0,0.247159128644,0,0,-0.223694,276.7, 0.4, -1,0,0,1024,1024,1024,1024,275,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644476,-120.1138962,4998.4985510281,0.984252,0,0.279986557516,4100,2018-05-11 18:08:03,14,0,24.747,4998.4985510281,0.984252,0,0.279986557516,0,0,0,276.7, 0.2, -1.2,0,0,1024,1024,1024,1024,275.1,-90,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644477,-120.1138962,4998.8266350281,1.312336,0,0.3136236977,4200,2018-05-11 18:08:03,14,0,24.747,4998.8266350281,1.312336,0,0.3136236977,0,0,0,276.7, 0.2, -1.2,0,0,1024,1024,1024,1024,275.1,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644478,-120.1138963,4998.8266350281,1.312336,0,0.35832350228,4300,2018-05-11 18:08:03,14,0,24.747,4998.8266350281,1.312336,0,0.35832350228,0,0,0,276.7, 0.2, -1.4,0,0,1024,1024,1024,1024,275.1,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644479,-120.1138964,4999.4828030281,1.968504,0,0.40340880556,4500,2018-05-11 18:08:03,13,0,24.747,4999.4828030281,1.968504,0,0.40340880556,0,0,-0.223694,276.7, 0.4, -1,0,0,1024,1024,1024,1024,275.2,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644479,-120.1138964,4999.8108870281,2.296588,0,0.40340880556,4700,2018-05-11 18:08:04,12,0,24.747,4999.8108870281,2.296588,0,0.40340880556,0,0,0,276.8, 0.6, -0.9,0,0,1024,1024,1024,1024,275.2,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644479,-120.1138964,4999.8108870281,2.296588,0,0.40340880556,4900,2018-05-11 18:08:04,12,0,24.747,4999.8108870281,2.296588,0,0.40340880556,0,0,0,276.8, 0.5, -0.7,0,0,1024,1024,1024,1024,275.2,-89.9,100,4.091,4.068,4.1,4.172,4.102,4.068,7.127,57.2,11,AutoTakeoff,
38.1644479,-120.1138964,5000.1389710281,2.624672,0,0.40340880556,5000,2018-05-11 18:08:04,13,0,23.392,5000.1389710281,2.624672,0,0.40340880556,0,0,0,276.9, 0.3, -0.7,0,0,1024,1024,1024,1024,275.3,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,11,AutoTakeoff,
38.1644479,-120.1138964,5000.1389710281,2.624672,0,0.40340880556,5100,2018-05-11 18:08:04,13,0,23.392,5000.1389710281,2.624672,0,0.40340880556,0,0,0,276.9, 0.1, -0.7,0,0,1024,1024,1024,1024,275.3,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,11,AutoTakeoff,
38.1644479,-120.1138963,5000.4670550281,2.952756,0,0.39203085244,5200,2018-05-11 18:08:04,12,0,23.392,5000.4670550281,2.952756,0,0.40340880556,0,0,-0.223694,276.8, 0.1, -0.7,0,0,1024,1024,1024,1024,275.3,-89.9,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,11,AutoTakeoff,
38.1644479,-120.1138963,5000.4670550281,2.952756,0,0.39203085244,5300,2018-05-11 18:08:04,12,0,23.392,5000.4670550281,2.952756,0,0.40340880556,0,0,0,276.8, 0, -0.7,0,0,1024,1024,1024,1024,275.3,-89.9,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644479,-120.1138963,5000.4670550281,2.952756,0,0.39203085244,5400,2018-05-11 18:08:04,12,0,23.392,5000.4670550281,2.952756,0,0.40340880556,0,0,0,276.8, -0.1, -0.5,0,0,1024,1024,1024,1024,275.3,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644479,-120.1138963,5000.7951390281,3.28084,0,0.39203085244,5500,2018-05-11 18:08:04,12,0,23.392,5000.7951390281,3.28084,0,0.40340880556,0,0,0,276.9, -0.4, 0,0,0,1024,1024,1024,1024,275.4,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644479,-120.1138962,5000.7951390281,3.28084,0,0.38246720384,5600,2018-05-11 18:08:04,11,0,23.392,5000.7951390281,3.28084,0,0.40340880556,0,0,0,277, -0.5, 0.3,0,0,1024,1024,1024,1024,275.4,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644479,-120.1138963,5000.7951390281,3.28084,0,0.39203085244,5700,2018-05-11 18:08:05,11,0,23.392,5000.7951390281,3.28084,0,0.40340880556,0,0,0,277, -0.5, 0.2,0,0,1024,1024,1024,1024,275.4,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644479,-120.1138963,5001.1232230281,3.608924,0,0.39203085244,5800,2018-05-11 18:08:05,9,0,23.392,5001.1232230281,3.608924,0,0.40340880556,0,0,0,277, -0.4, 0,0,0,1024,1024,1024,1024,275.4,-90,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.164448,-120.1138962,5001.1232230281,3.608924,0,0.41741471152,5900,2018-05-11 18:08:05,9,0,23.392,5001.1232230281,3.608924,0,0.41741471152,0,0,-0.223694,276.9, -0.2, -0.1,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.877,3.863,3.877,3.921,3.913,3.891,16.619,57.2,14,Waypoint,
38.1644481,-120.1138962,5001.4513070281,3.937008,0,0.45260500136,6000,2018-05-11 18:08:05,12,0,23.129,5001.4513070281,3.937008,0,0.45260500136,0,0,-0.223694,276.7, -0.2, -0.3,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.83,3.836,3.835,3.894,3.884,3.84,17.101,57.2,14,Waypoint,
38.1644481,-120.1138963,5001.4513070281,3.937008,0,0.46071523784,6100,2018-05-11 18:08:05,12,0,23.129,5001.4513070281,3.937008,0,0.46071523784,0,0,-0.223694,276.6, -0.1, -0.5,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.83,3.836,3.835,3.894,3.884,3.84,17.101,57.2,14,Waypoint,
38.1644481,-120.1138963,5001.7793910281,4.265092,0,0.46071523784,6200,2018-05-11 18:08:05,12,0,23.129,5001.7793910281,4.265092,0,0.46071523784,0,0,-0.223694,276.4, 0, -0.4,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.83,3.836,3.835,3.894,3.884,3.84,17.101,57.2,14,Waypoint,
38.1644482,-120.1138963,5002.4355590281,4.92126,0,0.49551510772,6300,2018-05-11 18:08:05,12,0,23.129,5002.4355590281,4.92126,0,0.49551510772,0,0,-0.223694,276.1, 0, -0.3,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.83,3.836,3.835,3.894,3.884,3.84,17.101,57.2,14,Waypoint,
38.1644483,-120.1138963,5002.7636430281,5.249344,0,0.5305446364,6400,2018-05-11 18:08:05,13,0,23.129,5002.7636430281,5.249344,0,0.5305446364,0,0,-0.447388,275.9, 0, -0.4,0,0,1024,1024,1024,1024,275.5,-89.9,100,3.83,3.836,3.835,3.894,3.884,3.84,17.101,57.2,14,Waypoint,
