site,processed_photos,file_size_MB
stan_5k_1,re_calibration_IMG_0000_1.tif,2.46524
stan_5k_1,re_calibration_IMG_0000_2.tif,2.46524
stan_5k_1,re_calibration_IMG_0000_3.tif,2.465242
stan_5k_1,re_calibration_IMG_0000_4.tif,2.465242
stan_5k_1,re_calibration_IMG_0000_5.tif,2.465246
stan_5k_1,re_card-1_0002SET_000_IMG_0049_1.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0049_2.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0049_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0049_4.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0049_5.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0050_1.tif,2.465236
stan_5k_1,re_card-1_0002SET_000_IMG_0050_2.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0050_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0050_4.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0050_5.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0051_1.tif,2.465236
stan_5k_1,re_card-1_0002SET_000_IMG_0051_2.tif,2.465236
stan_5k_1,re_card-1_0002SET_000_IMG_0051_3.tif,2.465236
stan_5k_1,re_card-1_0002SET_000_IMG_0051_4.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0051_5.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0052_1.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0052_2.tif,2.465236
stan_5k_1,re_card-1_0002SET_000_IMG_0052_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0052_4.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0052_5.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0053_1.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0053_2.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0053_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0053_4.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0053_5.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0054_1.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0054_2.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0054_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0054_4.tif,2.465242
stan_5k_1,re_card-1_0002SET_000_IMG_0054_5.tif,2.465244
stan_5k_1,re_card-1_0002SET_000_IMG_0055_1.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0055_2.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0055_3.tif,2.465238
stan_5k_1,re_card-1_0002SET_000_IMG_0055_4.tif,2.46524
stan_5k_1,re_card-1_0002SET_000_IMG_0055_5.tif,2.465242
