Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
38.1754124, -120.0595596, 0.000, 13:03:32.517, 14, 0.00, 0.05, 98, -2.000, 1.400, 73.700, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.518, 153, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3119, -89.900, 0.000, 75.000, 0.000, 0.000, -0.100, 0.0, MapPilot_2.8.1_04242018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058163200445, 98, DJI_0001.jpg, Starting Mission from Lat/Long: 38.17540/-120.05969 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No, 0, 0, 0
38.1754127, -120.0595600, 0.000, 13:03:32.598, 14, 0.14, 0.10, 98, -0.400, 0.200, 73.900, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.598, 25, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3200, -90.000, 0.000, 75.000, 0.100, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754129, -120.0595602, 0.000, 13:03:32.698, 14, 0.14, 0.13, 98, 0.800, -0.300, 74.000, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.699, 9, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3301, -90.000, 0.000, 74.900, 0.100, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754129, -120.0595602, 0.000, 13:03:32.799, 14, 0.14, 0.13, 98, 0.800, -0.300, 74.000, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.799, 109, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3401, -90.000, 0.000, 74.900, 0.100, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754131, -120.0595604, 0.000, 13:03:32.898, 14, 0.22, 0.16, 98, 1.700, -0.900, 74.100, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.898, 90, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3500, -90.000, 0.000, 74.900, 0.200, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754133, -120.0595607, 0.000, 13:03:32.999, 14, 0.22, 0.19, 98, 2.300, -1.200, 74.200, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155412.999, 93, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3601, -90.000, 0.000, 74.900, 0.200, -0.100, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754135, -120.0595609, 0.000, 13:03:33.098, 14, 0.14, 0.21, 98, 2.700, -1.500, 74.200, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155413.098, 93, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3700, -89.900, 0.000, 74.900, 0.100, -0.100, -0.400, 0.0, , , , , , 98, , , 0, 0, 0
38.1754137, -120.0595611, 0.100, 13:03:33.198, 14, 0.10, 0.25, 98, 2.000, -0.800, 73.800, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155413.199, 10, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3801, -89.900, 0.000, 74.900, 0.100, 0.000, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754137, -120.0595611, 0.100, 13:03:33.299, 14, 0.10, 0.25, 98, 2.000, -0.800, 73.800, 2, 100, 100, 21, 25476, -3386, 5381, 5491, 11, 11, 1526155413.299, 111, 0, 1024, 1024, 1024, 1024, 0, 6, 4221, 4202, 4257, 4240, 4230, 4162, 0, 1, 3901, -89.900, 0.000, 74.900, 0.100, 0.000, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
38.1754139, -120.0595612, 0.100, 13:03:33.399, 14, 0.10, 0.27, 98, 1.700, -0.300, 73.500, 2, 100, 100, 21, 25246, -15868, 5381, 5491, 11, 11, 1526155413.399, 93, 0, 1024, 1024, 1024, 1024, 0, 6, 4015, 3997, 4076, 4125, 4136, 4136, 0, 1, 4001, -89.900, 0.000, 74.900, 0.100, 0.000, -0.300, 0.0, , , , , , 98, , , 0, 0, 0
