latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),flycStateRaw,flycState,message
38.0861268,-120.2285514,3871.4696967217,0,0,0,3200,2018-05-10 16:23:06,9,0,0,3871.4696967217,0,0,0,0,0,0,282.1, 0.4, -0.6,1,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861268,-120.2285515,3871.4696967217,0,0,0.0287167332024,3300,2018-05-10 16:23:06,9,0,0,3871.4696967217,0,0,0.0287167332024,0,0,0,282.1, 0.7, -1,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861267,-120.2285516,3871.7977807217,0.328084,0,0.068042325012,3400,2018-05-10 16:23:06,9,0,0,3871.7977807217,0.328084,0,0.068042325012,0,0,0,282.1, 0.9, -0.7,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861267,-120.2285518,3871.7977807217,0.328084,0,0.120521985484,3500,2018-05-10 16:23:06,9,0,0,3871.7977807217,0.328084,0,0.120521985484,0,0,0,282.1, 0.7, -0.2,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861266,-120.228552,3872.1258647217,0.656168,0.223694,0.187114835384,3600,2018-05-10 16:23:07,9,0,0,3872.1258647217,0.656168,0.223694,0.187114835384,0,0,0,282.1, 0.8, 0.3,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861265,-120.2285521,3872.1258647217,0.656168,0,0.228884849844,3700,2018-05-10 16:23:07,9,0,0,3872.1258647217,0.656168,0.223694,0.228884849844,0,0,0,281.9, 1, 0.7,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861265,-120.2285522,3872.4539487217,0.984252,0,0.254476058012,3800,2018-05-10 16:23:07,9,0,0,3872.4539487217,0.984252,0.223694,0.254476058012,0,0,0,281.8, 1, 1.1,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861264,-120.2285523,3872.4539487217,0.984252,0,0.296808080364,3900,2018-05-10 16:23:07,9,0,0,3872.4539487217,0.984252,0.223694,0.296808080364,0,0,0,281.8, 1, 1.2,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,0,60.8,11,AutoTakeoff,
38.0861264,-120.2285524,3872.7820327217,1.312336,0,0.322123369888,4000,2018-05-10 16:23:07,9,0,24.884,3872.7820327217,1.312336,0.223694,0.322123369888,0,0,0,281.7, 1, 1.2,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,5.307,60.8,11,AutoTakeoff,
38.0861263,-120.2285525,3872.7820327217,1.312336,0,0.36477691456,4100,2018-05-10 16:23:07,9,0,24.884,3872.7820327217,1.312336,0.223694,0.36477691456,0,0,0,281.7, 0.9, 1.2,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,5.307,60.8,11,AutoTakeoff,
38.0861263,-120.2285525,3873.1101167217,1.64042,0,0.36477691456,4200,2018-05-10 16:23:07,9,0,24.884,3873.1101167217,1.64042,0.223694,0.36477691456,0,0,0,281.8, 0.8, 1.1,0,0,1024,1024,1024,1024,0,0,98,4.09,4.064,4.052,4.1,4.107,4.114,5.307,60.8,11,AutoTakeoff,
