Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex
37.7328303, -120.0946851, 0.000, 11:29:45.298, 15, 0.00, 0.07, 100, -0.100, 0.300, -137.300, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.299, 16, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3038, -89.900, 0.000, -138.500, 0.000, 0.000, -0.300, 0.0, MapPilot_2.8.1_04242018, Dendroctonus I, 1.3.1.00, 041DDC1887, 1058171200279, 98, DJI_0392.jpg, Starting Mission from Lat/Long: 37.73284/-120.09469 Camera: Zenmuse X3 - Overlap: 90/90 - Active Connection: No, 15, 15, 15
37.7328304, -120.0946851, 0.000, 11:29:45.361, 15, 0.00, 0.08, 100, 0.000, 0.600, -137.300, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.362, 38, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3101, -89.900, 0.000, -138.500, 0.000, 0.000, -0.300, 0.0, , , , , , 98, , , 15, 15, 15
37.7328305, -120.0946851, 0.000, 11:29:45.461, 15, 0.00, 0.08, 100, 0.000, 0.600, -137.400, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.462, 38, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3201, -89.900, 0.000, -138.500, 0.000, 0.000, -0.300, 0.0, , , , , , 98, , , 15, 15, 15
37.7328305, -120.0946851, 0.100, 11:29:45.562, 15, 0.00, 0.09, 100, 0.000, 0.200, -137.600, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.562, 35, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3301, -89.900, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328306, -120.0946851, 0.100, 11:29:45.661, 14, 0.00, 0.10, 100, -0.200, 0.000, -137.700, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.662, 34, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3401, -90.000, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328307, -120.0946851, 0.200, 11:29:45.761, 14, 0.00, 0.11, 100, 0.000, -0.200, -137.800, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.762, 19, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3501, -90.000, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328307, -120.0946851, 0.200, 11:29:45.862, 14, 0.00, 0.11, 100, 0.000, -0.200, -137.900, 393, 100, 100, 28, 25645, -2964, 5491, 5491, 11, 11, 1526236185.863, 4, 0, 1024, 1024, 1024, 1024, 0, 6, 4284, 4309, 4238, 4311, 4280, 4270, 0, 1, 3602, -90.000, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328308, -120.0946851, 0.300, 11:29:45.961, 14, 0.00, 0.12, 100, 0.200, -0.200, -137.900, 393, 100, 100, 28, 25716, -3831, 5491, 5491, 11, 11, 1526236185.962, 17, 0, 1024, 1024, 1024, 1024, 0, 6, 4269, 4258, 4258, 4242, 4250, 4241, 0, 1, 3701, -90.000, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328308, -120.0946851, 0.300, 11:29:46.061, 14, 0.00, 0.13, 100, 0.000, -0.100, -137.900, 393, 100, 100, 28, 25716, -3831, 5491, 5491, 11, 11, 1526236186.062, 17, 0, 1024, 1024, 1024, 1024, 0, 6, 4269, 4258, 4258, 4242, 4250, 4241, 0, 1, 3801, -89.900, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
37.7328308, -120.0946851, 0.300, 11:29:46.161, 14, 0.00, 0.13, 100, 0.000, -0.100, -137.900, 393, 100, 100, 28, 25716, -3831, 5491, 5491, 11, 11, 1526236186.162, 117, 0, 1024, 1024, 1024, 1024, 0, 6, 4269, 4258, 4258, 4242, 4250, 4241, 0, 1, 3901, -89.900, 0.000, -138.500, 0.000, 0.000, -0.400, 0.0, , , , , , 98, , , 15, 15, 15
