Plot #,Forest,Elev. Band,Block,Plot,Msmt dates,Tree tag #,Species,Distance (ft),Azm,DBH (in),HT (ft),HTBC (ft),Tor. Pot.,DBH (cm),Basal area (m2),Basal area (m2/ha),Size class,Live/dead,Year death (time of attack or time of injury/other cause),Year Fall (initial),Gnd cont./hng up,2nd Snag status change/year ,BB/Cause,Comments
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2457,PILA,24.4,10,6.1,37,5,1,15.5,0.018854569,0.465569619,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2458,PIPO,23.0,55,21.5,111,35,0,54.6,0.234225334,5.783648384,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2459,PIPO,20.2,58,17.6,111,28,0,44.7,0.156957576,3.875701295,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2460,PIPO,10.9,84,17.9,104,20,0,45.5,0.162354006,4.008953551,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2461,PILA,30.1,122,18.1,101,18,0,46.0,0.166002297,4.099039583,4,L,,,,,,old brooms
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2462,PIPO,26.1,140,20.6,114,50,1,52.3,0.215026204,5.30957064,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2463,PIPO,27.9,145,12.6,57,28,1,32.0,0.080444811,1.986397009,3,D,2016,,,,WPB,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2464,PILA,16.3,181,2.9,14,3,1,7.4,0.004261406,0.10522549,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2465,PIPO,17.8,191,14.7,83,42,1,37.3,0.109494327,2.70370704,3,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2466,PSME,36.9,195,2.7,24,8,1,6.9,0.003693894,0.091212108,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2467,CADE,22.8,221,3.8,16,2,1,9.7,0.00731685,0.180672542,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2468,PIPO,27.3,223,27.2,116,35,0,69.1,0.374882145,9.256840282,5,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2469,PIPO,20.0,228,18.8,108,16,1,47.8,0.17909054,4.422223223,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2470,CADE,29.5,288,5.5,21,2,1,14.0,0.015327888,0.378486455,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2471,PSME,32.1,310,5.0,34,1,1,12.7,0.012667676,0.312798723,1,L,,,,,,
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2472,PIPO,15.6,320,19.3,100,23,0,49.0,0.188743309,4.66057585,4,D,2016,,,,WPB,RTB
Eldorado-3000-Plot 1-Site 1,Eldorado,3000,1,1,"Spring 2017, Spring 2018",2473,PILA,35.3,349,10.4,53,7,0,26.4,0.054805435,1.353292394,2,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2474,PSME,26.5,8,4.3,25,1,1,10.9,0.009369013,0.231345935,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2475,PIPO,9.6,19,19.0,104,36,0,48.3,0.182921245,4.516813557,4,D,2016,,,,WPB,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2476,PSME,23.0,36,2.9,19,1,1,7.4,0.004261406,0.10522549,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2477,PIPO,23.5,105,9.2,59,32,0,23.4,0.042887685,1.059011356,2,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2478,PIPO,28.7,108,3.6,28,,,9.1,0.006566923,0.162154858,1,D,2014,2018,Hung up  ,,SUP/drought,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2479,PIPO,28.4,134,5.4,43,,,13.7,0.014775578,0.36484843,1,D,2014,,,,WPB,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2480,PILA,17.4,158,10.0,63,38,0,25.4,0.050670705,1.251194891,2,L,,,,,,Looking poor (crown thinning) in '17
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2481,PSME,28.7,164,3.2,23,2,1,8.1,0.00518868,0.128122357,1,L,,,,,,
Eldorado-3000-Plot 2-Site 1,Eldorado,3000,1,2,"Spring 2017, Spring 2018",2482,PIPO,34.3,229,22.2,116,39,0,56.4,0.249725503,6.166388901,4,D,2016,,,,WPB,RTB
